name,nTracks,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
CNCO, 3, 2.08, 2.564, 11.581, 0.2469, 0.5849, 0.0, 0.6642999999999999, 1.807, 277.767, 
Shakira, 4, 3.053, 3.287, 12.219, 0.4846, 0.7779999999999999, 0.00031099999999999997, 0.39280000000000004, 3.6700000000000004, 493.19800000000004, 
Zion & Lennox, 1, 0.832, 0.772, 5.429, 0.1, 0.0559, 0.000486, 0.44, 0.704, 96.016, 
Ricky Martin, 1, 0.663, 0.92, 4.07, 0.226, 0.00431, 1.69e-05, 0.101, 0.533, 99.935, 
J Balvin, 7, 5.039000000000001, 5.119, 35.327999999999996, 1.0578999999999998, 1.4543000000000004, 0.00275162, 1.318, 4.562, 792.919, 
Carlos Vives, 3, 2.226, 2.706, 10.649, 0.22740000000000002, 0.3708, 2.32e-06, 1.061, 2.271, 370.03, 
IAmChino, 1, 0.761, 0.829, 3.203, 0.0681, 0.167, 0.0, 0.189, 0.813, 92.033, 
Chino & Nacho, 1, 0.68, 0.954, 1.823, 0.119, 0.0244, 0.0, 0.112, 0.521, 104.029, 
Sebastian Yatra, 3, 2.267, 2.335, 10.918, 0.2918, 0.2791, 1.71e-06, 0.5469999999999999, 2.1399999999999997, 364.066, 
Daddy Yankee, 3, 2.314, 2.0229999999999997, 12.435, 0.3792, 0.38, 0.0, 0.5031, 1.979, 394.048, 
DJ Snake, 1, 0.476, 0.718, 5.309, 0.0576, 0.0784, 1.02e-05, 0.122, 0.142, 199.864, 
Wisin, 3, 2.318, 2.5730000000000004, 11.234000000000002, 0.2999, 0.33, 6.09e-05, 0.6723, 1.8619999999999999, 280.074, 
The Chainsmokers, 6, 3.9819999999999993, 3.565, 44.63, 0.352, 0.9803, 0.00740415, 0.9149, 2.175, 647.807, 
Ozuna, 10, 7.455, 6.837999999999999, 58.029999999999994, 1.0099, 2.1368, 0.0134133, 1.4853, 6.243, 1402.356, 
Ed Sheeran, 18, 11.641, 10.058, 104.46799999999999, 1.2577, 7.313599999999999, 0.0004754, 2.3956999999999993, 9.556999999999999, 1908.5089999999996, 
Luis Fonsi, 3, 2.0780000000000003, 2.496, 12.702000000000002, 0.33110000000000006, 0.4702, 0.0, 0.3014, 2.299, 362.786, 
Nicky Jam, 2, 1.368, 1.422, 10.654, 0.1362, 0.44699999999999995, 0.0, 0.2122, 1.518, 357.822, 
Danny Ocean, 3, 2.292, 2.342, 18.626, 0.21550000000000002, 0.1296, 0.0, 0.1908, 1.323, 309.633, 
Enrique Iglesias, 1, 0.684, 0.823, 3.297, 0.0773, 0.0744, 0.0, 0.111, 0.647, 91.048, 
Kygo, 5, 3.183, 2.7409999999999997, 32.069, 0.3616, 1.409, 6.755e-05, 0.7825, 2.3360000000000003, 558.968, 
Anuel Aa, 2, 1.42, 1.329, 11.763, 0.21949999999999997, 1.207, 5.71e-06, 0.1613, 1.217, 266.774, 
Nacho, 2, 1.608, 1.7349999999999999, 9.027000000000001, 0.2297, 0.41100000000000003, 0.0022652899999999997, 0.11929999999999999, 1.271, 192.04, 
Pitbull, 2, 1.232, 1.537, 8.507, 0.37, 0.0829, 6.18e-06, 0.431, 1.0350000000000001, 243.462, 
Maluma, 4, 3.239, 2.733, 19.309, 0.4361, 0.8003, 2.6850000000000002e-05, 0.966, 2.2737, 467.01, 
Chris Jeday, 1, 0.708, 0.693, 5.516, 0.138, 0.246, 0.0, 0.129, 0.427, 143.965, 
Manuel Turizo, 3, 2.158, 1.617, 24.330000000000002, 0.5584, 1.2870000000000001, 0.0, 0.6276999999999999, 1.7449999999999999, 375.98400000000004, 
Felipe Peláez, 1, 0.797, 0.777, 5.499, 0.0772, 0.237, 0.0, 0.128, 0.575, 99.987, 
Becky G, 1, 0.743, 0.855, 3.976, 0.0436, 0.141, 0.0045, 0.099, 0.871, 96.989, 
Joey Montana, 1, 0.688, 0.859, 4.447, 0.0609, 0.186, 0.0, 0.121, 0.695, 92.042, 
Alex Sensation, 1, 0.771, 0.835, 3.388, 0.0507, 0.13, 0.0, 0.0601, 0.817, 91.012, 
Natti Natasha, 2, 1.63, 1.619, 6.046, 0.1124, 0.06470000000000001, 0.0001834, 0.51, 1.661, 159.98399999999998, 
Valentino, 1, 0.767, 0.705, 6.221, 0.0521, 0.342, 0.0, 0.25, 0.52, 94.013, 
Piso 21, 4, 2.941, 3.17, 18.451, 0.2376, 0.7687, 1.3e-06, 0.38, 2.7430000000000003, 451.123, 
