"Track.Name","Artist","songId","Region","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01"
"Reggaetón Lento (Bailemos)","CNCO","3AEZUABDXNtecAOSC1qTfo","ec","1","4","6","8","","","","","","","",""
"Chantaje","Shakira","6mICuAdrwEjh6Y6lroV2Kg","ec","2","6","8","","","","","","","","",""
"Otra Vez (feat. J Balvin)","Zion & Lennox","3QwBODjSEzelZyVjxPOHdq","ec","3","5","7","7","","","","","","","",""
"Despacito (Featuring Daddy Yankee)","Luis Fonsi","4aWmUDTfIPGksMNLV2rQP2","ec","4","1","1","2","8","10","","","","","",""
"Shape of You","Ed Sheeran","7qiZfU4dY1lWllzX7mPBI3","ec","5","2","2","1","4","6","10","","","","",""
"Safari","J Balvin","6rQSrBHf7HlZjtcMZ4S4bO","ec","6","8","","","","","","","","","",""
"Vente Pa' Ca","Ricky Martin","7DM4BPaS7uofFul3ywMe46","ec","7","","","","","","","","","","",""
"Vacaciones","Wisin","3dQDid3IUNhZy1OehIfYfE","ec","8","7","9","","","","","","","","",""
"Ay Mi Dios","IAmChino","6stYbAJgTszHAHZMPxWWCY","ec","9","10","","","","","","","","","",""
"El Amante","Nicky Jam","3umS4y3uQDkqekNjVpiRUs","ec","10","3","4","5","9","9","","","","","",""
"Me Rehúso","Danny Ocean","6De0lHrwBfPfrhorm9q1Xl","ec","","9","3","3","","2","2","2","3","4","",""
"SUBEME LA RADIO","Enrique Iglesias","7nKBxz47S9SD79N086fuhn","ec","","","5","4","10","","","","","","",""
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa","5q2JbCNi4FcnglgPfxcV65","ec","","","10","","","","","","","","",""
"Despacito - Remix","Luis Fonsi","5CtI0qwDJkDQGwXD1H1cLb","ec","","","","6","6","","","","","","",""
"Báilame","Nacho","7lRsNbdOGykkMAgsqs4R1C","ec","","","","9","3","3","6","8","","","",""
"Felices los 4","Maluma","0qYTZCo5Bwh1nsUFGZP3zn","ec","","","","10","1","1","3","5","10","","",""
"Me Rehúso","Danny Ocean","6Zosz8w6CmdGMZM6p4JlbQ","ec","","","","","2","","","","","","",""
"Hey DJ","CNCO","209gZgcfLq2aUuu51vOWBl","ec","","","","","5","7","7","","","","",""
"Escápate Conmigo","Wisin","2cnKEkpVUSV4wnjQiTWfH6","ec","","","","","7","5","5","6","9","","",""
"Una Lady Como Tú","Manuel Turizo","7MHN1aCFtLXjownGhvEQlF","ec","","","","","","4","4","3","5","","",""
"Ahora Dice","Chris Jeday","22eADXu8DfOAUEDw4vU8qy","ec","","","","","","8","8","","","","",""
"Mi Gente","J Balvin","2rb5MvYT7ZIxbKW5hfcHx8","ec","","","","","","","1","1","2","","",""
"Bonita","J Balvin","693iqPOQvhI7PobtR8CC8v","ec","","","","","","","9","7","7","10","",""
"Robarte un Beso","Carlos Vives","4z3GJkrtH97Bj6fRta983T","ec","","","","","","","","4","1","2","",""
"Si Tú La Ves","Nicky Jam","4yN6xPLopmTLvc27pO9LIE","ec","","","","","","","","9","","","",""
"Vivo Pensando En Ti","Felipe Peláez","0H7cz1bR7w9PulJL7Na774","ec","","","","","","","","10","6","8","",""
"Mayores","Becky G","7JNh1cfm0eXjqFVOzKLyau","ec","","","","","","","","","4","1","1","6"
"Báilame - Remix","Nacho","3VClLWqNn80Llv0PJOsKgr","ec","","","","","","","","","8","7","",""
"Suena El Dembow","Joey Montana","5TysCiZtv1HnSWcTcUFusI","ec","","","","","","","","","","3","4",""
"Criminal","Natti Natasha","2SmgFAhQkQCQPyBiBxR6Te","ec","","","","","","","","","","5","10",""
"Se Preparó","Ozuna","1m69ELEgE6k5ZWsap40ozt","ec","","","","","","","","","","6","9","9"
"Que Va","Alex Sensation","7ofxPmTNMj2GP07g1VZa0O","ec","","","","","","","","","","9","5","7"
"Criminal","Natti Natasha","6Za3190Sbw39BBC77WSS1C","ec","","","","","","","","","","","2","4"
"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21","33bnxcjePIkcmNjEFTJX0l","ec","","","","","","","","","","","3","2"
"Échame La Culpa","Luis Fonsi","1zsG4eaZmkA1dvjDDsAGLK","ec","","","","","","","","","","","6","1"
"Robarte un Beso","Carlos Vives","0JcNysfWVWaMS7R6vzGB2k","ec","","","","","","","","","","","7","8"
"Sensualidad","Bad Bunny","5hcisvFMidkMJlElTO9Qmw","ec","","","","","","","","","","","8","5"
"Corazón","Maluma","4lESS6vuruP6a79KWRaQou","ec","","","","","","","","","","","","3"
"Downtown","Anitta","3Ga6eKrUFf12ouh9Yw3v2D","ec","","","","","","","","","","","","10"
"Shape of You","Ed Sheeran","7qiZfU4dY1lWllzX7mPBI3","fr","1","1","1","1","2","3","5","8","","","",""
"Afro Trap Pt. 7 (La puissance)","MHD","6x8j5V85ZJHtvOSjSamcVc","fr","2","","","","","","","","","","",""
"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit","5knuzwU65gJK7IF5yJsuaW","fr","3","5","","","","","","","","","",""
"Mauvaise graine","Nekfeu","4kKJ5CjwCtksszPMntho4N","fr","4","","","","","","","","","","",""
"Tchoin","Kaaris","0ban5QRXUveaKtQPGuaoQ9","fr","5","6","","","","","","","","","",""
"Starboy","The Weeknd","5aAx2yezTd8zXrkmtKl66Z","fr","6","","","","","","","","","","",""
"Squa","Nekfeu","11hj8c8BCRd5ND3CRhZSvt","fr","7","","","","","","","","","","",""
"Je m'en vais","Vianney","2Vd1vVQaBilW0O6nmU5BkH","fr","8","4","","","","","","","","","",""
"Human","Rag'n'Bone Man","58zsLZPvfflaiIbNWoA22O","fr","9","","","","","","","","","","",""
"Sunset Lover","Petit Biscuit","0hNduWmlWmEmuwEFcYvRu1","fr","10","10","","","","","","","","","",""
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN","3NdDpSvN911VPGivFlV5d0","fr","","2","4","","","","","","","","",""
"Tout l'monde s'en fout","Sofiane","7syABtsvHvD3nO7OG91Ani","fr","","3","9","","","","","","","","",""
"Traîtres","Lacrim","6NOBQsQ2TsAK8ieuFEB0O6","fr","","7","","","","","","","","","",""
"Bené","PNL","00X2yv2vrtritPt2CZnUTZ","fr","","8","7","","","","","","","","",""
"Grande armée","Lacrim","28co1mTCrGIGOeGzqLjSat","fr","","9","","","","","","","","","",""
"It Ain't Me (with Selena Gomez)","Kygo","3eR23VReFzcdmS7TYCrhCe","fr","","","2","3","","","","","","","",""
"Call On Me - Ryan Riback Extended Remix","Starley","78rIJddV4X0HkNAInEcYde","fr","","","3","7","","","","","","","",""
"You Don't Know Me - Radio Edit","Jax Jones","00lNx0OcTJrS3MKHcB80HY","fr","","","5","4","","","","","","","",""
"Afro Trap Pt. 8 (Never)","MHD","1MUxJxub6ovS0rzTHRgyoF","fr","","","6","","","","","","","","",""
"Passionfruit","Drake","7hDc8b7IXETo14hHIHdnhd","fr","","","8","5","","","","","","","",""
"Castle on the Hill","Ed Sheeran","6PCUP3dWmTjcTtXY02oFdT","fr","","","10","","","","","","","","",""
"Mask Off","Future","3rOSwuTsUlJp0Pu0MkN8r8","fr","","","","2","6","9","","","","","",""
"Oh bah oui","Lacrim","0z18wqbjuXTxzaNm4oegU2","fr","","","","6","","","","","","","",""
"HUMBLE.","Kendrick Lamar","7KXjTSCq5nL1LoYtL7XAwS","fr","","","","8","","","","","","","",""
"Despacito (Featuring Daddy Yankee)","Luis Fonsi","4aWmUDTfIPGksMNLV2rQP2","fr","","","","9","","8","","","","","",""
"Α. Nwaar Is The New Black","Damso","57U26FwUclMqyZ5ylnPpw1","fr","","","","10","3","","","","","","",""
"Θ. Macarena","Damso","2UZW9WOPXdxw9YMG1bebS8","fr","","","","","1","1","1","4","","","",""
"Despacito - Remix","Luis Fonsi","5CtI0qwDJkDQGwXD1H1cLb","fr","","","","","4","2","4","","","","",""
"Γ. Mosaïque solitaire","Damso","1E3zyoTHtJzsu5CjwIFIhY","fr","","","","","5","","","","","","",""
"Ε. Signaler","Damso","03aduXwm6cTqO9bb4XFQ2b","fr","","","","","7","","","","","","",""
"B. #QuedusaalVie","Damso","4HvYhaXDmmAW6ZmPcgPZca","fr","","","","","8","","","","","","",""
"I'm the One","DJ Khaled","72Q0FQQo32KJloivv5xge2","fr","","","","","9","","","","","","",""
"Space Jam","Mister V","00cbRAOr6wTPE9WBMejhiM","fr","","","","","10","","","","","","",""
"I'm the One","DJ Khaled","3DXncPQOG4VBw3QHh3S817","fr","","","","","","4","","","","","",""
"Attention","Charlie Puth","4iLqG9SeJSnt0cSPICSjxv","fr","","","","","","5","10","","","","",""
"Chocolat (feat. Awa)","Lartiste","4fwtP5khM1iEoa6BP1QQsX","fr","","","","","","6","9","","","","",""
"Wild Thoughts","DJ Khaled","1OAh8uOEOvTDqkKFsKksCi","fr","","","","","","7","2","7","","","",""
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo","6kex4EBAj0WHXDKZMEJaaF","fr","","","","","","10","","","","","",""
"Réseaux","Niska","2Pu2Kcm1cwFg4dDSdmFip4","fr","","","","","","","3","1","1","","",""
"Feels","Calvin Harris","5bcTCxgc7xVfSaMV3RuVke","fr","","","","","","","6","6","","","",""
"Mamacita","Ninho","08GhiNwYij4HNVkBZnJvft","fr","","","","","","","7","2","","","",""
"Unforgettable","French Montana","3B54sVLJ402zGa6Xm4YGNe","fr","","","","","","","8","3","8","","",""
"Mi Gente","J Balvin","2rb5MvYT7ZIxbKW5hfcHx8","fr","","","","","","","","5","","","",""
"Mobali","Siboy","6xcXAVbDuVT1pCsa2rmDHY","fr","","","","","","","","9","","","",""
"Suis-moi","Alonzo","54G8osRu1htBw1PQEkYIdL","fr","","","","","","","","10","","","",""
"De l'autre côté (feat. Nekfeu)","Ninho","3ldfGgw7IoLHbaqmspX3ME","fr","","","","","","","","","2","8","",""
"Mamacita","Ninho","35gJuqfvrdlCA2MmAtaD3J","fr","","","","","","","","","3","","",""
"Caramelo","Ninho","4fuhLKAuSxRY5OO2hwARlY","fr","","","","","","","","","4","","",""
"Réseaux","Niska","2nY6MRHWpW0AGXMoGDJOjX","fr","","","","","","","","","5","1","5",""
"Tuba Life","Niska","2r6C2IEw533mDs3sam5Zxx","fr","","","","","","","","","6","4","9",""
"Rose","Ninho","4Ln4KAwk37peyCh2QpqYnP","fr","","","","","","","","","7","","",""
"Medellín","Niska","1gI6FedOWXQ7aSj4FfEiGK","fr","","","","","","","","","9","5","",""
"Elle m'a eu","Ninho","78DktVruMrKYyv6rjdKDMM","fr","","","","","","","","","10","","",""
"Salé","Niska","0uBu60Wd7yzm2sFrj2hSr6","fr","","","","","","","","","","2","2",""
"Mwaka Moon","Kalash","1vVZLmZq8gN8pPCEBLjPvD","fr","","","","","","","","","","3","1","1"
"Basique","Orelsan","2ICdvchXmDh5mdLyyL2opB","fr","","","","","","","","","","6","7",""
"Défaite de famille","Orelsan","0IvTKTST66tq30ZeFWeqfm","fr","","","","","","","","","","7","8",""
"Zone (feat. Nekfeu & Dizzee Rascal)","Orelsan","1Tx2jZNOvlrj20ctkCg8vR","fr","","","","","","","","","","9","",""
"Madre mia (feat. Ninho)","Sadek","37YNulvDhyzULfhHycmhEl","fr","","","","","","","","","","10","",""
"rockstar","Post Malone","7wGoVu4Dady5GV0Sv4UIsx","fr","","","","","","","","","","","3","5"
"Havana","Camila Cabello","0ofbQMrRDsUaVKq2mGLEAb","fr","","","","","","","","","","","4","10"
"Noche","Lacrim","4eUxD9V0Df1prftDNBpQ9Z","fr","","","","","","","","","","","6",""
"Reine","Dadju","2HdCh16tdPjle1rm80Y6q7","fr","","","","","","","","","","","10","7"
"Friday","Booba","1CYj9Yx8zrYvU93khXvmsA","fr","","","","","","","","","","","","2"
"113","Booba","6xqAP7kpdgCy8lERQHh29c","fr","","","","","","","","","","","","3"
"Petite fille","Booba","1ywqGGNsfC9gditduk5hpZ","fr","","","","","","","","","","","","4"
"Drapeau noir","Booba","5SGoH6oXOUUWKpvuOzLEnM","fr","","","","","","","","","","","","6"
"Trône","Booba","5uTod3SFov0HLe1QAPn960","fr","","","","","","","","","","","","8"
"Ridin'","Booba","06IYJV7Ed3FfpJurK7OIFG","fr","","","","","","","","","","","","9"
"Reggaetón Lento (Bailemos)","CNCO","3AEZUABDXNtecAOSC1qTfo","ar","1","2","4","8","","","","","","","",""
"Chantaje","Shakira","6mICuAdrwEjh6Y6lroV2Kg","ar","2","4","7","","","","","","","","",""
"Cuando Se Pone a Bailar","Rombai","1MpKZi1zTXpERKwxmOu1PH","ar","3","5","8","","","","","","","","",""
"Vente Pa' Ca","Ricky Martin","7DM4BPaS7uofFul3ywMe46","ar","4","","","","","","","","","","",""
"Safari","J Balvin","6rQSrBHf7HlZjtcMZ4S4bO","ar","5","9","","","","","","","","","",""
"Despacito (Featuring Daddy Yankee)","Luis Fonsi","4aWmUDTfIPGksMNLV2rQP2","ar","6","1","1","1","5","9","","","","","",""
"Otra Vez (feat. J Balvin)","Zion & Lennox","3QwBODjSEzelZyVjxPOHdq","ar","7","7","9","","","","","","","","",""
"Traicionera","Sebastian Yatra","5J1c3M4EldCfNxXwrwt8mT","ar","8","","","","","","","","","","",""
"Shaky Shaky","Daddy Yankee","58IL315gMSTD37DOZPJ2hf","ar","9","","","","","","","","","","",""
"Me Llamas (feat. Maluma) - Remix","Piso 21","5hEM0JchdVzQ5PwvSfITeX","ar","10","","10","","","","","","","","",""
"El Amante","Nicky Jam","3umS4y3uQDkqekNjVpiRUs","ar","","3","3","4","8","10","","","","","",""
"Shape of You","Ed Sheeran","7qiZfU4dY1lWllzX7mPBI3","ar","","6","2","2","6","6","9","","","","",""
"Vacaciones","Wisin","3dQDid3IUNhZy1OehIfYfE","ar","","8","","","","","","","","","",""
"La Rompe Corazones","Daddy Yankee","4okba5wu9mMLXx79DXLKi3","ar","","10","5","6","","","","","","","",""
"SUBEME LA RADIO","Enrique Iglesias","7nKBxz47S9SD79N086fuhn","ar","","","6","3","10","","","","","","",""
"Despacito - Remix","Luis Fonsi","5CtI0qwDJkDQGwXD1H1cLb","ar","","","","5","2","8","","","","","",""
"Me Rehúso","Danny Ocean","6De0lHrwBfPfrhorm9q1Xl","ar","","","","7","","2","1","2","3","5","",""
"Ahora Dice","Chris Jeday","22eADXu8DfOAUEDw4vU8qy","ar","","","","9","3","3","4","6","","","",""
"Felices los 4","Maluma","0qYTZCo5Bwh1nsUFGZP3zn","ar","","","","10","1","1","2","4","9","","",""
"Me Rehúso","Danny Ocean","6Zosz8w6CmdGMZM6p4JlbQ","ar","","","","","4","","","","","","",""
"Escápate Conmigo","Wisin","2cnKEkpVUSV4wnjQiTWfH6","ar","","","","","7","5","5","5","10","","",""
"Hey DJ","CNCO","209gZgcfLq2aUuu51vOWBl","ar","","","","","9","4","6","7","","","",""
"Tu Foto","Ozuna","0Szp49tpFasIjX04Mcsydp","ar","","","","","","7","8","10","","","",""
"Mi Gente","J Balvin","2rb5MvYT7ZIxbKW5hfcHx8","ar","","","","","","","3","1","1","6","",""
"Bonita","J Balvin","693iqPOQvhI7PobtR8CC8v","ar","","","","","","","7","3","4","7","",""
"Olha a Explosão","MC Kevinho","6m2LNopVJKsvBB9l7Z1rwn","ar","","","","","","","10","9","","","",""
"Krippy Kush","Farruko","3rgjBiAMVGnxmsTDmUy8vb","ar","","","","","","","","8","","","",""
"Se Preparó","Ozuna","1m69ELEgE6k5ZWsap40ozt","ar","","","","","","","","","2","2","3","5"
"Mayores","Becky G","7JNh1cfm0eXjqFVOzKLyau","ar","","","","","","","","","5","3","2","7"
"Báilame - Remix","Nacho","3VClLWqNn80Llv0PJOsKgr","ar","","","","","","","","","6","4","9",""
"Criminal","Natti Natasha","2SmgFAhQkQCQPyBiBxR6Te","ar","","","","","","","","","7","1","7",""
"El Farsante","Ozuna","5EId1m4DNwTf3at31w8bPJ","ar","","","","","","","","","8","10","",""
"Que Va","Alex Sensation","7ofxPmTNMj2GP07g1VZa0O","ar","","","","","","","","","","8","6",""
"Vuelve","Daddy Yankee","0lJCqIx5BhZtf6QtYI2fbv","ar","","","","","","","","","","9","8",""
"Criminal","Natti Natasha","6Za3190Sbw39BBC77WSS1C","ar","","","","","","","","","","","1","3"
"Sensualidad","Bad Bunny","5hcisvFMidkMJlElTO9Qmw","ar","","","","","","","","","","","4","2"
"Perro Fiel","Shakira","70lnL3QaSOIIyMa2X9aVRL","ar","","","","","","","","","","","5","10"
"She Don't Give a FO (feat. Khea)","Duki","7ehmaSwhEZv4aaJzxsVMGY","ar","","","","","","","","","","","10","6"
"Corazón","Maluma","4lESS6vuruP6a79KWRaQou","ar","","","","","","","","","","","","1"
"Échame La Culpa","Luis Fonsi","1zsG4eaZmkA1dvjDDsAGLK","ar","","","","","","","","","","","","4"
"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21","33bnxcjePIkcmNjEFTJX0l","ar","","","","","","","","","","","","8"
"Loca","Cazzu","0vnrhysrKKRdNYFKLAGzRc","ar","","","","","","","","","","","","9"
"Shape of You","Ed Sheeran","7qiZfU4dY1lWllzX7mPBI3","fi","1","1","1","4","","","","","","","",""
"Alone","Alan Walker","0JiVRyTJcJnmlwCZ854K4p","fi","2","9","","","","","","","","","",""
"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit","5knuzwU65gJK7IF5yJsuaW","fi","3","","","","","","","","","","",""
"Mixet Tahdo","Mäkki","53nNxpVCDUwblGyAazoSS8","fi","4","","","","","","","","","","",""
"Mä hiihdän","Antti Tuisku","4OdVWcLwTqgFQJNAMLaur9","fi","5","","","","","","","","","","",""
"Castle on the Hill","Ed Sheeran","6PCUP3dWmTjcTtXY02oFdT","fi","6","","","","","","","","","","",""
"Hukutaan","Arttu Lindeman","0i8qXP5jTcu3dPfwZrboV3","fi","7","","","","","","","","","","",""
"Loistat Pimeäs","Mikael Gabriel","3bCuspxImskpiHF3udYdFI","fi","8","","","","","","","","","","",""
"Paris","The Chainsmokers","72jbDTw1piOOj770jWNeaG","fi","9","8","","","","","","","","","",""
"Turvasana","Jenni Vartiainen","5s6Sqm6yLoGHdFXdR9QE4F","fi","10","","","","","","","","","","",""
"Liikaa Sussa Kii","Mikael Gabriel","0MEuAbpzkCXjFu2ey5vKaD","fi","","2","9","","","","","","","","",""
"Hulluuden Highway","Haloo Helsinki!","1RPMDcIljymdp7dSgTfhls","fi","","3","10","","","","","","","","",""
"Scared to Be Lonely","Martin Garrix","3ebXMykcMXOcLeJ9xZ17XH","fi","","4","","","","","","","","","",""
"Sitä säät mitä tilaat (feat. Ellinoora)","JVG","5DTBkAANRc9K2B2uZ9aVCU","fi","","5","3","","","","","","","","",""
"It Ain't Me (with Selena Gomez)","Kygo","3eR23VReFzcdmS7TYCrhCe","fi","","6","5","","","","","","","","",""
"Yhtäccii","Profeetat","4kloZeUMhzOQu5F5bBJVHS","fi","","7","","","","","","","","","",""
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN","3NdDpSvN911VPGivFlV5d0","fi","","10","","","","","","","","","",""
"Rahan takii","Antti Tuisku","4UDDfd77rlXmNjgW1NKhWq","fi","","","2","5","","","","","","","",""
"Antaudun","Reino Nordin","4waYSI6TTW0guhTJc4gWzq","fi","","","4","1","6","","","","","","",""
"Symphony (feat. Zara Larsson)","Clean Bandit","1x5sYLZiu9r5E43kMlt9f8","fi","","","6","2","","","","","","","",""
"Urheiluhullu","JVG","0mj07aASkf2RYZR1QQ5k7l","fi","","","7","","","","","","","","",""
"Mä En Kestä","Laura Voutilainen","4lLL9uT4lun5BKt3ouOhxO","fi","","","8","9","","","","","","","",""
"Hula Hula","Robin","5WytJMdICvcrJF6JY0W4pl","fi","","","","3","9","8","","","","","",""
"Despacito - Remix","Luis Fonsi","5CtI0qwDJkDQGwXD1H1cLb","fi","","","","6","1","1","1","","","","",""
"Pettävällä Jäällä - Vain Elämää Kausi 6","Nikke Ankara","2C7Yzl61H8BE3EbK2Qk1sM","fi","","","","7","4","","","","","","",""
"Jokainen kyynel","Profeetat","5XXd8LSfEqqhLJBUcX3O5R","fi","","","","8","","","","","","","",""
"Rakkaus On Lumivalkoinen - Vain Elämää Kausi 6","Robin","6vsB8NUCBMLuuYmsYtZSra","fi","","","","10","7","","","","","","",""
"Kylmii Väreitä","Evelina","7MddwdpQ7sh3Pi1xHUSr4K","fi","","","","","2","4","","","","","",""
"Karjala Takas","Portion Boys","1PZNjZOmm3ZmaWkqvmJpaY","fi","","","","","3","7","","","","","",""
"Kymmenen Kirosanaa - Vain Elämää Kausi 6","Robin","2zWVKlOfppLl96FpttaPrK","fi","","","","","5","","","","","","",""
"I'm the One","DJ Khaled","72Q0FQQo32KJloivv5xge2","fi","","","","","8","","","","","","",""
