danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.528,0.416,10,-8.492,1,0.0325,0.756,0,0.114,0.347,139.821,audio_features,53HxUdYRCRMdzYPG0qhGUP,spotify:track:53HxUdYRCRMdzYPG0qhGUP,https://api.spotify.com/v1/tracks/53HxUdYRCRMdzYPG0qhGUP,https://api.spotify.com/v1/audio-analysis/53HxUdYRCRMdzYPG0qhGUP,267531,4
0.647,0.465,7,-8.308,1,0.0428,0.865,0,0.0882,0.699,151.251,audio_features,6tjituizSxwSmBB5vtgHZE,spotify:track:6tjituizSxwSmBB5vtgHZE,https://api.spotify.com/v1/tracks/6tjituizSxwSmBB5vtgHZE,https://api.spotify.com/v1/audio-analysis/6tjituizSxwSmBB5vtgHZE,119787,4
0.677,0.697,5,-5.63,0,0.0321,0.0198,0,0.144,0.61,134,audio_features,5075foWfaIxJZr3hGMopXO,spotify:track:5075foWfaIxJZr3hGMopXO,https://api.spotify.com/v1/tracks/5075foWfaIxJZr3hGMopXO,https://api.spotify.com/v1/audio-analysis/5075foWfaIxJZr3hGMopXO,182837,4
0.498,0.77,5,-4.55,1,0.0434,0.347,0,0.34,0.503,144.07,audio_features,3VSFri2BxieCG7RtuxFMXr,spotify:track:3VSFri2BxieCG7RtuxFMXr,https://api.spotify.com/v1/tracks/3VSFri2BxieCG7RtuxFMXr,https://api.spotify.com/v1/audio-analysis/3VSFri2BxieCG7RtuxFMXr,273332,4
0.584,0.752,8,-6.689,1,0.058,0.018,0.00000373,0.647,0.791,125.797,audio_features,0zCfmceT1YvtZXGbR6Roht,spotify:track:0zCfmceT1YvtZXGbR6Roht,https://api.spotify.com/v1/tracks/0zCfmceT1YvtZXGbR6Roht,https://api.spotify.com/v1/audio-analysis/0zCfmceT1YvtZXGbR6Roht,228173,4
0.483,0.121,2,-15.133,0,0.0349,0.91,0,0.0885,0.419,106.032,audio_features,0LtVx5vsq9nfpGsWgjUin6,spotify:track:0LtVx5vsq9nfpGsWgjUin6,https://api.spotify.com/v1/tracks/0LtVx5vsq9nfpGsWgjUin6,https://api.spotify.com/v1/audio-analysis/0LtVx5vsq9nfpGsWgjUin6,149720,4
0.663,0.42,10,-7.465,1,0.0301,0.831,0,0.0822,0.427,129.786,audio_features,5uMkdWf1H6JEcpcdnPOSZM,spotify:track:5uMkdWf1H6JEcpcdnPOSZM,https://api.spotify.com/v1/tracks/5uMkdWf1H6JEcpcdnPOSZM,https://api.spotify.com/v1/audio-analysis/5uMkdWf1H6JEcpcdnPOSZM,228613,4
0.626,0.392,9,-9.621,1,0.0297,0.718,0.00000272,0.141,0.252,94.484,audio_features,1zlUxL11eVVjPSPSI7tIjQ,spotify:track:1zlUxL11eVVjPSPSI7tIjQ,https://api.spotify.com/v1/tracks/1zlUxL11eVVjPSPSI7tIjQ,https://api.spotify.com/v1/audio-analysis/1zlUxL11eVVjPSPSI7tIjQ,278707,4
0.458,0.755,2,-5.335,0,0.0344,0.00404,0,0.326,0.352,143.909,audio_features,4pw59ml6lY3WnP90tfyDGP,spotify:track:4pw59ml6lY3WnP90tfyDGP,https://api.spotify.com/v1/tracks/4pw59ml6lY3WnP90tfyDGP,https://api.spotify.com/v1/audio-analysis/4pw59ml6lY3WnP90tfyDGP,243594,4
0.626,0.465,2,-8.399,1,0.0321,0.837,0,0.0993,0.204,132.936,audio_features,4F58voptx3uo1bNiJ6i1P9,spotify:track:4F58voptx3uo1bNiJ6i1P9,https://api.spotify.com/v1/tracks/4F58voptx3uo1bNiJ6i1P9,https://api.spotify.com/v1/audio-analysis/4F58voptx3uo1bNiJ6i1P9,247975,4
