"name","nTracks","danceability","energy","speechiness","acousticness","instrumentalness","liveness","valence",
"187 Strassenbande"," 6"," 0.6429999999999999"," 0.7465"," 0.32483333333333336"," 0.12368333333333333"," 3.3450000000000006e-06"," 0.16659999999999997"," 0.3373333333333333"," "
"1Kilo"," 1"," 0.555"," 0.439"," 0.222"," 0.841"," 0.0"," 0.106"," 0.705"," "
"21 Savage"," 3"," 0.85"," 0.37599999999999995"," 0.2856666666666667"," 0.12040000000000001"," 9.026666666666666e-06"," 0.17206666666666667"," 0.33166666666666667"," "
"A-Mei Chang"," 5"," 0.4444"," 0.3226"," 0.03898"," 0.9154"," 0.0"," 0.1214"," 0.3066"," "
"�?a�?atay Akman"," 1"," 0.769"," 0.837"," 0.14"," 0.652"," 0.0"," 0.0986"," 0.819"," "
"�?dyssey"," 1"," 0.691"," 0.768"," 0.0924"," 0.144"," 0.0"," 0.142"," 0.526"," "
"İlyas Yalçınta�?"," 1"," 0.712"," 0.713"," 0.0337"," 0.287"," 0.00206"," 0.147"," 0.456"," "
"A$AP Ferg"," 1"," 0.797"," 0.844"," 0.275"," 0.0651"," 0.0"," 0.087"," 0.52"," "
"�'寧�?'"," 1"," 0.475"," 0.344"," 0.0308"," 0.719"," 0.000603"," 0.143"," 0.261"," "
"AAA"," 1"," 0.625"," 0.86"," 0.0314"," 0.0512"," 0.0"," 0.408"," 0.533"," "
"Abraham Mateo"," 1"," 0.69"," 0.872"," 0.0588"," 0.226"," 0.0"," 0.0858"," 0.731"," "
"ABREU"," 1"," 0.776"," 0.831"," 0.0792"," 0.125"," 0.0"," 0.307"," 0.622"," "
"Adolphson & Falk"," 1"," 0.583"," 0.747"," 0.0834"," 0.293"," 0.00656"," 0.659"," 0.662"," "
"AJR"," 2"," 0.6725000000000001"," 0.6395"," 0.0445"," 0.132"," 0.0"," 0.1605"," 0.667"," "
"Alan Walker"," 4"," 0.6695"," 0.7985"," 0.050275"," 0.13829999999999998"," 0.0005787500000000001"," 0.179825"," 0.3775"," "
"Albert Dyrlund"," 1"," 0.756"," 0.788"," 0.0353"," 0.167"," 0.0"," 0.162"," 0.818"," "
"Aleete"," 1"," 0.582"," 0.00772"," 0.324"," 0.689"," 0.967"," 0.06"," 0.176"," "
"Alejandro Fernandez"," 1"," 0.682"," 0.858"," 0.0708"," 0.245"," 0.0"," 0.104"," 0.753"," "
"Aleksanteri Hakaniemi"," 3"," 0.7593333333333333"," 0.8333333333333334"," 0.07196666666666666"," 0.040600000000000004"," 0.0"," 0.0742"," 0.739"," "
"Alessia Cara"," 1"," 0.314"," 0.555"," 0.37"," 0.157"," 0.000108"," 0.067"," 0.159"," "
"Alesso"," 1"," 0.761"," 0.785"," 0.0505"," 0.234"," 0.237"," 0.0573"," 0.58"," "
"Alex Sensation"," 1"," 0.771"," 0.835"," 0.0507"," 0.13"," 0.0"," 0.0601"," 0.817"," "
"Aleyna Tilki"," 2"," 0.736"," 0.659"," 0.0373"," 0.104"," 0.00141"," 0.147"," 0.538"," "
"Ali B"," 1"," 0.778"," 0.752"," 0.0567"," 0.0193"," 0.0"," 0.288"," 0.505"," "
"Alice Merton"," 1"," 0.863"," 0.656"," 0.104"," 0.264"," 0.00495"," 0.0712"," 0.821"," "
"Alle Farben"," 2"," 0.752"," 0.706"," 0.03625"," 0.24015"," 0.012067"," 0.07050000000000001"," 0.6515"," "
"ALMA"," 2"," 0.773"," 0.743"," 0.07264999999999999"," 0.3185"," 5.85e-06"," 0.268"," 0.48750000000000004"," "
"Alok"," 4"," 0.70625"," 0.6935"," 0.034875"," 0.28717499999999996"," 0.0026766025"," 0.09995000000000001"," 0.43775"," "
"Alonzo"," 1"," 0.519"," 0.843"," 0.189"," 0.0158"," 6.42e-06"," 0.245"," 0.556"," "
"Amedeo Preziosi"," 1"," 0.72"," 0.826"," 0.117"," 0.133"," 0.0"," 0.133"," 0.333"," "
"Amenazzy"," 1"," 0.805"," 0.48"," 0.211"," 0.242"," 0.00381"," 0.0978"," 0.262"," "
"Aminé"," 3"," 0.9459999999999998"," 0.34900000000000003"," 0.488"," 0.21566666666666667"," 0.0"," 0.19933333333333333"," 0.705"," "
"Amy Shark"," 1"," 0.592"," 0.438"," 0.0391"," 0.193"," 0.0"," 0.0564"," 0.259"," "
"Andy Grammer"," 1"," 0.822"," 0.544"," 0.0332"," 0.562"," 2.4e-05"," 0.144"," 0.861"," "
"Andy Williams"," 1"," 0.24"," 0.598"," 0.037"," 0.766"," 0.0"," 0.117"," 0.776"," "
"Anita Kerr Singers"," 1"," 0.741"," 0.326"," 0.0395"," 0.918"," 0.0"," 0.0658"," 0.751"," "
"Anitta"," 4"," 0.7909999999999999"," 0.7110000000000001"," 0.116925"," 0.16185000000000002"," 0.04777974"," 0.13655"," 0.7334999999999999"," "
"Anne-Marie"," 1"," 0.698"," 0.882"," 0.0863"," 0.127"," 0.0"," 0.15"," 0.445"," "
"Anniina"," 1"," 0.759"," 0.715"," 0.0762"," 0.486"," 1.21e-06"," 0.254"," 0.495"," "
"Anton Hagman"," 1"," 0.811"," 0.815"," 0.0628"," 0.0154"," 0.0"," 0.0551"," 0.81"," "
"Antti Tuisku"," 10"," 0.6815999999999999"," 0.6744999999999999"," 0.06774"," 0.17573"," 0.000130739"," 0.11568"," 0.6228"," "
"Anuel Aa"," 2"," 0.71"," 0.6645"," 0.10974999999999999"," 0.6035"," 2.855e-06"," 0.08065"," 0.6085"," "
"Arcangel"," 2"," 0.8069999999999999"," 0.5545"," 0.277"," 0.3995"," 0.0"," 0.4775"," 0.589"," "
"Ariana Grande"," 4"," 0.562"," 0.6295"," 0.12195"," 0.08205"," 8.25e-07"," 0.19849999999999998"," 0.38375000000000004"," "
"Armada"," 2"," 0.5065"," 0.5425"," 0.03095"," 0.048714999999999994"," 0.0"," 0.3205"," 0.2615"," "
"Aron Can"," 11"," 0.735909090909091"," 0.4403636363636363"," 0.17834545454545456"," 0.30048181818181824"," 0.002802878181818182"," 0.15115454545454546"," 0.35725454545454544"," "
"Aron Hannes"," 2"," 0.729"," 0.69"," 0.04245"," 0.16399999999999998"," 0.0"," 0.34299999999999997"," 0.3425"," "
"Arttu Lindeman"," 4"," 0.676"," 0.7324999999999999"," 0.1389"," 0.229"," 9.2e-07"," 0.325025"," 0.58925"," "
