"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Shape of You","Ed Sheeran",6426029,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","ca"
2,"Starboy","The Weeknd",2289415,"5aAx2yezTd8zXrkmtKl66Z","2017-01-01","ca"
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",2036938,"3NdDpSvN911VPGivFlV5d0","2017-01-01","ca"
4,"Bad and Boujee (feat. Lil Uzi Vert)","Migos",1875387,"4Km5HrUvYTaSUfiSGPJeQR","2017-01-01","ca"
5,"Fake Love","Drake",2044856,"343YBumqHu19cGoGARUTsd","2017-01-01","ca"
6,"Castle on the Hill","Ed Sheeran",1639648,"6PCUP3dWmTjcTtXY02oFdT","2017-01-01","ca"
7,"Closer","The Chainsmokers",1558049,"7BKLCZ1jbUBVqRi2FVlTVw","2017-01-01","ca"
8,"Havana","Camila Cabello",988935,"0ofbQMrRDsUaVKq2mGLEAb","2017-01-01","ca"
9,"Him & I (with Halsey)","G-Eazy",576986,"5k38wzpLb15YgncyWdTZE4","2017-01-01","ca"
10,"River (feat. Ed Sheeran)","Eminem",542675,"5UEnHoDYpsxlfzWLZIc7LD","2017-01-01","ca"
11,"Paris","The Chainsmokers",0,"72jbDTw1piOOj770jWNeaG","2017-01-01","ca"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-01-01","ca"
11,"Chained To The Rhythm","Katy Perry",0,"6520aj0B4FSKGVuKNsOCOi","2017-01-01","ca"
11,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",0,"5knuzwU65gJK7IF5yJsuaW","2017-01-01","ca"
11,"Scared to Be Lonely","Martin Garrix",0,"3ebXMykcMXOcLeJ9xZ17XH","2017-01-01","ca"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-01-01","ca"
11,"Mask Off","Future",0,"3rOSwuTsUlJp0Pu0MkN8r8","2017-01-01","ca"
11,"Passionfruit","Drake",0,"7hDc8b7IXETo14hHIHdnhd","2017-01-01","ca"
11,"Blem","Drake",0,"2XlHu0HcujBCkWMdIAvrqt","2017-01-01","ca"
11,"Stay (with Alessia Cara)","Zedd",0,"0dA2Mk56wEzDgegdC6R17g","2017-01-01","ca"
11,"Galway Girl","Ed Sheeran",0,"0afhq8XCExXpqazXczTSve","2017-01-01","ca"
11,"Portland","Drake",0,"2bjwRfXMk4uRgOD9IBYl9h","2017-01-01","ca"
11,"HUMBLE.","Kendrick Lamar",0,"7KXjTSCq5nL1LoYtL7XAwS","2017-01-01","ca"
11,"DNA.","Kendrick Lamar",0,"6HZILIRieu8S0iqY8kIKhj","2017-01-01","ca"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","ca"
11,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",0,"6SwRhMLwNqEi6alNPVG00n","2017-01-01","ca"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-01-01","ca"
11,"Unforgettable","French Montana",0,"1F2HXIJrE2Xn81OzT2zZvW","2017-01-01","ca"
11,"XO TOUR Llif3","Lil Uzi Vert",0,"2eMwDehkIC1j68U6FA3Eiq","2017-01-01","ca"
11,"I'm the One","DJ Khaled",0,"3DXncPQOG4VBw3QHh3S817","2017-01-01","ca"
11,"Unforgettable","French Montana",0,"3B54sVLJ402zGa6Xm4YGNe","2017-01-01","ca"
11,"Wild Thoughts","DJ Khaled",0,"1OAh8uOEOvTDqkKFsKksCi","2017-01-01","ca"
11,"2U (feat. Justin Bieber)","David Guetta",0,"3A7qX2QjDlPnazUsRk5y0M","2017-01-01","ca"
11,"Strip That Down","Liam Payne",0,"6EpRaXYhGOB3fj4V2uDkMJ","2017-01-01","ca"
11,"Congratulations","Post Malone",0,"3a1lNhkSLSkpJE4MSHpDu9","2017-01-01","ca"
11,"Feels","Calvin Harris",0,"5bcTCxgc7xVfSaMV3RuVke","2017-01-01","ca"
11,"Signs","Drake",0,"5EnYT6F7wEcdege6mDHEfO","2017-01-01","ca"
11,"Signs","Drake",0,"6Na5uKk5SsqZimk0hAWo8y","2017-01-01","ca"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-01-01","ca"
11,"Friends (with BloodPop®)","Justin Bieber",0,"7nZmah2llfvLDiUjm0kiyz","2017-01-01","ca"
11,"1-800-273-8255","Logic",0,"5tz69p7tJuGPeMGwNTxYuV","2017-01-01","ca"
11,"Look What You Made Me Do","Taylor Swift",0,"6uFsE1JgZ20EXyU0JQZbUR","2017-01-01","ca"
11,"rockstar","Post Malone",0,"1OmcAT5Y8eg5bUPv9qJT4R","2017-01-01","ca"
11,"Too Good At Goodbyes - Edit","Sam Smith",0,"0mel2N9Ws9r4yLQn5QE21Y","2017-01-01","ca"
11,"Silence","Marshmello",0,"7vGuf3Y35N4wmASOKLUVVU","2017-01-01","ca"
11,"Dusk Till Dawn - Radio Edit","ZAYN",0,"1j4kHkkpqZRBwE0A4CN4Yv","2017-01-01","ca"
11,"rockstar","Post Malone",0,"7wGoVu4Dady5GV0Sv4UIsx","2017-01-01","ca"
11,"Gucci Gang","Lil Pump",0,"43ZyHQITOjhciSUUNPVRHc","2017-01-01","ca"
11,"Bank Account","21 Savage",0,"2fQrGHiQOvpL9UgPvtYy6G","2017-01-01","ca"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"4mxWSdf71VFO52qFeY0fZt","2017-01-01","ca"
11,"Bodak Yellow","Cardi B",0,"2771LMNxwf62FTAdpJMQfM","2017-01-01","ca"
11,"Wolves","Selena Gomez",0,"7EmGUiUaOSGDnUUQUDrOXC","2017-01-01","ca"
11,"Too Good At Goodbyes","Sam Smith",0,"1mXVgsBdtIVeCLJnSnmtdV","2017-01-01","ca"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"3hBBKuWJfxlIlnd9QFoC8k","2017-01-01","ca"
11,"Perfect","Ed Sheeran",0,"0tgVpDi06FyKpA1z0VMD4v","2017-01-01","ca"
11,"Ric Flair Drip (& Metro Boomin)","Offset",0,"7sO5G9EABYOXQKNPNiE9NR","2017-01-01","ca"
11,"Ghostface Killers","21 Savage",0,"5u6vkDnOyaf8LsteDAj2ub","2017-01-01","ca"
11,"All I Want for Christmas Is You","Mariah Carey",0,"0bYg9bo50gSsH3LtXe2SQn","2017-01-01","ca"
11,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",0,"1bhUWB0zJMIKr9yVPrkEuI","2017-01-01","ca"
1,"Shape of You","Ed Sheeran",7181887,"7qiZfU4dY1lWllzX7mPBI3","2017-02-01","ca"
2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",4071798,"3NdDpSvN911VPGivFlV5d0","2017-02-01","ca"
3,"Paris","The Chainsmokers",3859104,"72jbDTw1piOOj770jWNeaG","2017-02-01","ca"
4,"Bad and Boujee (feat. Lil Uzi Vert)","Migos",3082590,"4Km5HrUvYTaSUfiSGPJeQR","2017-02-01","ca"
5,"It Ain't Me (with Selena Gomez)","Kygo",1921648,"3eR23VReFzcdmS7TYCrhCe","2017-02-01","ca"
6,"Castle on the Hill","Ed Sheeran",2155011,"6PCUP3dWmTjcTtXY02oFdT","2017-02-01","ca"
7,"Chained To The Rhythm","Katy Perry",1992631,"6520aj0B4FSKGVuKNsOCOi","2017-02-01","ca"
8,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",2235371,"5knuzwU65gJK7IF5yJsuaW","2017-02-01","ca"
9,"Scared to Be Lonely","Martin Garrix",1877844,"3ebXMykcMXOcLeJ9xZ17XH","2017-02-01","ca"
10,"Something Just Like This","The Chainsmokers",1002971,"6RUKPb4LETWmmr3iAEQktW","2017-02-01","ca"
11,"Starboy","The Weeknd",0,"5aAx2yezTd8zXrkmtKl66Z","2017-02-01","ca"
11,"Fake Love","Drake",0,"343YBumqHu19cGoGARUTsd","2017-02-01","ca"
