"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Otra Vez (feat. J Balvin)","Zion & Lennox",955854,"3QwBODjSEzelZyVjxPOHdq","2017-01-01","co"
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",1302087,"4aWmUDTfIPGksMNLV2rQP2","2017-01-01","co"
3,"Safari","J Balvin",791044,"6rQSrBHf7HlZjtcMZ4S4bO","2017-01-01","co"
4,"Reggaetón Lento (Bailemos)","CNCO",613225,"3AEZUABDXNtecAOSC1qTfo","2017-01-01","co"
5,"Shape of You","Ed Sheeran",548189,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","co"
6,"Sensualidad","Bad Bunny",391758,"5hcisvFMidkMJlElTO9Qmw","2017-01-01","co"
7,"Ya No Me Duele Más","Silvestre Dangond",385318,"4JnJ9ACXmtLkpH61ZvFSaM","2017-01-01","co"
8,"Corazón","Maluma",271362,"4lESS6vuruP6a79KWRaQou","2017-01-01","co"
9,"Vente Pa' Ca","Ricky Martin",222725,"7DM4BPaS7uofFul3ywMe46","2017-01-01","co"
10,"Let Me Love You","DJ Snake",275929,"4pdPtRcBmOSQDlJ3Fk945m","2017-01-01","co"
11,"El Amante","Nicky Jam",0,"3umS4y3uQDkqekNjVpiRUs","2017-01-01","co"
11,"Chantaje","Shakira",0,"6mICuAdrwEjh6Y6lroV2Kg","2017-01-01","co"
11,"Te Quiero Pa´Mi","Don Omar",0,"3BY2mafsbsoKGqS380Xnuz","2017-01-01","co"
11,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",0,"5q2JbCNi4FcnglgPfxcV65","2017-01-01","co"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-01-01","co"
11,"Sigo Extrañándote","J Balvin",0,"6qDF4wWL49CAVbgT7yuHl8","2017-01-01","co"
11,"Una Lady Como Tú","Manuel Turizo",0,"0GGFHWt4u223Vm1RkXQKTj","2017-01-01","co"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","co"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-01-01","co"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-01-01","co"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-01-01","co"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-01-01","co"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-01-01","co"
11,"Besándote","Piso 21",0,"13X0XdLMOdtbXVtAj2ox4h","2017-01-01","co"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-01-01","co"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-01-01","co"
11,"Besame","Valentino",0,"7Ckhk1XW5NV2k4jpqtQNlz","2017-01-01","co"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-01-01","co"
11,"Cásate Conmigo","Silvestre Dangond",0,"6f4UPdDBQONKJBRqwZGjaJ","2017-01-01","co"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-01-01","co"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-01-01","co"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-01-01","co"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-01-01","co"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-01-01","co"
11,"SUTRA","Sebastian Yatra",0,"5TmZYdHW6HJ9gt7Aokuql5","2017-01-01","co"
11,"Robarte un Beso","Carlos Vives",0,"0JcNysfWVWaMS7R6vzGB2k","2017-01-01","co"
11,"Quiero Repetir","Ozuna",0,"0MIcPSq9n2z5H8TAfEstri","2017-01-01","co"
11,"Amantes","Greeicy",0,"3IyPnNX142pvWx6D5CiimD","2017-01-01","co"
11,"Esperándote","Manuel Turizo",0,"1nfyE13arjOuO54HH0zmqj","2017-01-01","co"
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",3171208,"4aWmUDTfIPGksMNLV2rQP2","2017-02-01","co"
2,"El Amante","Nicky Jam",2066480,"3umS4y3uQDkqekNjVpiRUs","2017-02-01","co"
3,"Shape of You","Ed Sheeran",1707909,"7qiZfU4dY1lWllzX7mPBI3","2017-02-01","co"
4,"Reggaetón Lento (Bailemos)","CNCO",1336424,"3AEZUABDXNtecAOSC1qTfo","2017-02-01","co"
5,"Otra Vez (feat. J Balvin)","Zion & Lennox",1292742,"3QwBODjSEzelZyVjxPOHdq","2017-02-01","co"
6,"Chantaje","Shakira",1055633,"6mICuAdrwEjh6Y6lroV2Kg","2017-02-01","co"
7,"Te Quiero Pa´Mi","Don Omar",837412,"3BY2mafsbsoKGqS380Xnuz","2017-02-01","co"
8,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",772599,"5q2JbCNi4FcnglgPfxcV65","2017-02-01","co"
9,"Safari","J Balvin",767178,"6rQSrBHf7HlZjtcMZ4S4bO","2017-02-01","co"
10,"Ya No Me Duele Más","Silvestre Dangond",569951,"4JnJ9ACXmtLkpH61ZvFSaM","2017-02-01","co"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-02-01","co"
