"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Reggaetón Lento (Bailemos)","CNCO",513745,"3AEZUABDXNtecAOSC1qTfo","2017-01-01","cr"
2,"Chantaje","Shakira",314273,"6mICuAdrwEjh6Y6lroV2Kg","2017-01-01","cr"
3,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",412091,"4aWmUDTfIPGksMNLV2rQP2","2017-01-01","cr"
4,"Otra Vez (feat. J Balvin)","Zion & Lennox",229167,"3QwBODjSEzelZyVjxPOHdq","2017-01-01","cr"
5,"Se Preparó","Ozuna",188830,"1m69ELEgE6k5ZWsap40ozt","2017-01-01","cr"
6,"Let Me Love You","DJ Snake",213953,"4pdPtRcBmOSQDlJ3Fk945m","2017-01-01","cr"
7,"Safari","J Balvin",172422,"6rQSrBHf7HlZjtcMZ4S4bO","2017-01-01","cr"
8,"Shape of You","Ed Sheeran",154671,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","cr"
9,"Closer","The Chainsmokers",198223,"7BKLCZ1jbUBVqRi2FVlTVw","2017-01-01","cr"
10,"Sensualidad","Bad Bunny",135121,"5hcisvFMidkMJlElTO9Qmw","2017-01-01","cr"
11,"El Amante","Nicky Jam",0,"3umS4y3uQDkqekNjVpiRUs","2017-01-01","cr"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-01-01","cr"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-01-01","cr"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-01-01","cr"
11,"Sigo Extrañándote","J Balvin",0,"6qDF4wWL49CAVbgT7yuHl8","2017-01-01","cr"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","cr"
11,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",0,"5knuzwU65gJK7IF5yJsuaW","2017-01-01","cr"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-01-01","cr"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-01-01","cr"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-01-01","cr"
11,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",0,"6kex4EBAj0WHXDKZMEJaaF","2017-01-01","cr"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-01-01","cr"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-01-01","cr"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-01-01","cr"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-01-01","cr"
11,"Krippy Kush","Farruko",0,"3rgjBiAMVGnxmsTDmUy8vb","2017-01-01","cr"
11,"Tu Foto","Ozuna",0,"0Szp49tpFasIjX04Mcsydp","2017-01-01","cr"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-01-01","cr"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-01-01","cr"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-01-01","cr"
11,"Tú Foto","Ozuna",0,"5zSOVwaY3sVjnmLhuEfsuf","2017-01-01","cr"
11,"Quiero Repetir","Ozuna",0,"0MIcPSq9n2z5H8TAfEstri","2017-01-01","cr"
11,"New Rules","Dua Lipa",0,"2ekn2ttSfGqwhhate0LSR0","2017-01-01","cr"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-01-01","cr"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-01-01","cr"
11,"El Farsante","Ozuna",0,"5EId1m4DNwTf3at31w8bPJ","2017-01-01","cr"
11,"","",0,"1YqcGlCHNquxBhlUZsjhMT","2017-01-01","cr"
11,"Olha a Explosão","MC Kevinho",0,"6m2LNopVJKsvBB9l7Z1rwn","2017-01-01","cr"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-01-01","cr"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-01-01","cr"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-01-01","cr"
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",1351068,"4aWmUDTfIPGksMNLV2rQP2","2017-02-01","cr"
2,"Shape of You","Ed Sheeran",866414,"7qiZfU4dY1lWllzX7mPBI3","2017-02-01","cr"
3,"Reggaetón Lento (Bailemos)","CNCO",605214,"3AEZUABDXNtecAOSC1qTfo","2017-02-01","cr"
4,"El Amante","Nicky Jam",534447,"3umS4y3uQDkqekNjVpiRUs","2017-02-01","cr"
5,"Otra Vez (feat. J Balvin)","Zion & Lennox",518642,"3QwBODjSEzelZyVjxPOHdq","2017-02-01","cr"
6,"Chantaje","Shakira",457166,"6mICuAdrwEjh6Y6lroV2Kg","2017-02-01","cr"
7,"Safari","J Balvin",404804,"6rQSrBHf7HlZjtcMZ4S4bO","2017-02-01","cr"
8,"Me Rehúso","Danny Ocean",285834,"6De0lHrwBfPfrhorm9q1Xl","2017-02-01","cr"
9,"Closer","The Chainsmokers",238561,"7BKLCZ1jbUBVqRi2FVlTVw","2017-02-01","cr"
10,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",199967,"3NdDpSvN911VPGivFlV5d0","2017-02-01","cr"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-02-01","cr"
11,"Let Me Love You","DJ Snake",0,"4pdPtRcBmOSQDlJ3Fk945m","2017-02-01","cr"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-02-01","cr"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-02-01","cr"
11,"Sigo Extrañándote","J Balvin",0,"6qDF4wWL49CAVbgT7yuHl8","2017-02-01","cr"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-02-01","cr"
11,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",0,"5knuzwU65gJK7IF5yJsuaW","2017-02-01","cr"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-02-01","cr"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-02-01","cr"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-02-01","cr"
11,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",0,"6kex4EBAj0WHXDKZMEJaaF","2017-02-01","cr"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-02-01","cr"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-02-01","cr"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-02-01","cr"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-02-01","cr"
11,"Krippy Kush","Farruko",0,"3rgjBiAMVGnxmsTDmUy8vb","2017-02-01","cr"
11,"Tu Foto","Ozuna",0,"0Szp49tpFasIjX04Mcsydp","2017-02-01","cr"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-02-01","cr"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-02-01","cr"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-02-01","cr"
11,"Tú Foto","Ozuna",0,"5zSOVwaY3sVjnmLhuEfsuf","2017-02-01","cr"
11,"Quiero Repetir","Ozuna",0,"0MIcPSq9n2z5H8TAfEstri","2017-02-01","cr"
11,"New Rules","Dua Lipa",0,"2ekn2ttSfGqwhhate0LSR0","2017-02-01","cr"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-02-01","cr"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-02-01","cr"
11,"El Farsante","Ozuna",0,"5EId1m4DNwTf3at31w8bPJ","2017-02-01","cr"
11,"","",0,"1YqcGlCHNquxBhlUZsjhMT","2017-02-01","cr"
11,"Olha a Explosão","MC Kevinho",0,"6m2LNopVJKsvBB9l7Z1rwn","2017-02-01","cr"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-02-01","cr"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-02-01","cr"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-02-01","cr"
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",1180770,"4aWmUDTfIPGksMNLV2rQP2","2017-03-01","cr"
2,"Shape of You","Ed Sheeran",1101408,"7qiZfU4dY1lWllzX7mPBI3","2017-03-01","cr"
3,"El Amante","Nicky Jam",567441,"3umS4y3uQDkqekNjVpiRUs","2017-03-01","cr"
4,"Me Rehúso","Danny Ocean",624464,"6De0lHrwBfPfrhorm9q1Xl","2017-03-01","cr"
5,"Reggaetón Lento (Bailemos)","CNCO",534858,"3AEZUABDXNtecAOSC1qTfo","2017-03-01","cr"
6,"Otra Vez (feat. J Balvin)","Zion & Lennox",512977,"3QwBODjSEzelZyVjxPOHdq","2017-03-01","cr"
7,"Chantaje","Shakira",386862,"6mICuAdrwEjh6Y6lroV2Kg","2017-03-01","cr"
8,"SUBEME LA RADIO","Enrique Iglesias",180528,"7nKBxz47S9SD79N086fuhn","2017-03-01","cr"
9,"Sigo Extrañándote","J Balvin",145378,"6qDF4wWL49CAVbgT7yuHl8","2017-03-01","cr"
10,"Safari","J Balvin",236352,"6rQSrBHf7HlZjtcMZ4S4bO","2017-03-01","cr"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-03-01","cr"
11,"Let Me Love You","DJ Snake",0,"4pdPtRcBmOSQDlJ3Fk945m","2017-03-01","cr"
11,"Closer","The Chainsmokers",0,"7BKLCZ1jbUBVqRi2FVlTVw","2017-03-01","cr"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-03-01","cr"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-03-01","cr"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-03-01","cr"
11,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",0,"5knuzwU65gJK7IF5yJsuaW","2017-03-01","cr"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-03-01","cr"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-03-01","cr"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-03-01","cr"
11,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",0,"6kex4EBAj0WHXDKZMEJaaF","2017-03-01","cr"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-03-01","cr"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-03-01","cr"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-03-01","cr"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-03-01","cr"
11,"Krippy Kush","Farruko",0,"3rgjBiAMVGnxmsTDmUy8vb","2017-03-01","cr"
11,"Tu Foto","Ozuna",0,"0Szp49tpFasIjX04Mcsydp","2017-03-01","cr"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-03-01","cr"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-03-01","cr"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-03-01","cr"
11,"Tú Foto","Ozuna",0,"5zSOVwaY3sVjnmLhuEfsuf","2017-03-01","cr"
11,"Quiero Repetir","Ozuna",0,"0MIcPSq9n2z5H8TAfEstri","2017-03-01","cr"
11,"New Rules","Dua Lipa",0,"2ekn2ttSfGqwhhate0LSR0","2017-03-01","cr"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-03-01","cr"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-03-01","cr"
11,"El Farsante","Ozuna",0,"5EId1m4DNwTf3at31w8bPJ","2017-03-01","cr"
11,"","",0,"1YqcGlCHNquxBhlUZsjhMT","2017-03-01","cr"
11,"Olha a Explosão","MC Kevinho",0,"6m2LNopVJKsvBB9l7Z1rwn","2017-03-01","cr"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-03-01","cr"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-03-01","cr"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-03-01","cr"
1,"Shape of You","Ed Sheeran",846817,"7qiZfU4dY1lWllzX7mPBI3","2017-04-01","cr"
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",818398,"4aWmUDTfIPGksMNLV2rQP2","2017-04-01","cr"
3,"Me Rehúso","Danny Ocean",693962,"6De0lHrwBfPfrhorm9q1Xl","2017-04-01","cr"
4,"El Amante","Nicky Jam",468199,"3umS4y3uQDkqekNjVpiRUs","2017-04-01","cr"
5,"Otra Vez (feat. J Balvin)","Zion & Lennox",434252,"3QwBODjSEzelZyVjxPOHdq","2017-04-01","cr"
6,"Despacito - Remix","Luis Fonsi",368738,"5CtI0qwDJkDQGwXD1H1cLb","2017-04-01","cr"
7,"SUBEME LA RADIO","Enrique Iglesias",387938,"7nKBxz47S9SD79N086fuhn","2017-04-01","cr"
8,"Reggaetón Lento (Bailemos)","CNCO",371390,"3AEZUABDXNtecAOSC1qTfo","2017-04-01","cr"
9,"Sigo Extrañándote","J Balvin",373592,"6qDF4wWL49CAVbgT7yuHl8","2017-04-01","cr"
10,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",153144,"5knuzwU65gJK7IF5yJsuaW","2017-04-01","cr"
11,"Chantaje","Shakira",0,"6mICuAdrwEjh6Y6lroV2Kg","2017-04-01","cr"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-04-01","cr"
11,"Let Me Love You","DJ Snake",0,"4pdPtRcBmOSQDlJ3Fk945m","2017-04-01","cr"
11,"Safari","J Balvin",0,"6rQSrBHf7HlZjtcMZ4S4bO","2017-04-01","cr"
11,"Closer","The Chainsmokers",0,"7BKLCZ1jbUBVqRi2FVlTVw","2017-04-01","cr"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-04-01","cr"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-04-01","cr"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-04-01","cr"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-04-01","cr"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-04-01","cr"
11,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",0,"6kex4EBAj0WHXDKZMEJaaF","2017-04-01","cr"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-04-01","cr"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-04-01","cr"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-04-01","cr"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-04-01","cr"
11,"Krippy Kush","Farruko",0,"3rgjBiAMVGnxmsTDmUy8vb","2017-04-01","cr"
11,"Tu Foto","Ozuna",0,"0Szp49tpFasIjX04Mcsydp","2017-04-01","cr"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-04-01","cr"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-04-01","cr"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-04-01","cr"
11,"Tú Foto","Ozuna",0,"5zSOVwaY3sVjnmLhuEfsuf","2017-04-01","cr"
11,"Quiero Repetir","Ozuna",0,"0MIcPSq9n2z5H8TAfEstri","2017-04-01","cr"
11,"New Rules","Dua Lipa",0,"2ekn2ttSfGqwhhate0LSR0","2017-04-01","cr"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-04-01","cr"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-04-01","cr"
11,"El Farsante","Ozuna",0,"5EId1m4DNwTf3at31w8bPJ","2017-04-01","cr"
11,"","",0,"1YqcGlCHNquxBhlUZsjhMT","2017-04-01","cr"
11,"Olha a Explosão","MC Kevinho",0,"6m2LNopVJKsvBB9l7Z1rwn","2017-04-01","cr"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-04-01","cr"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-04-01","cr"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-04-01","cr"
1,"Shape of You","Ed Sheeran",716145,"7qiZfU4dY1lWllzX7mPBI3","2017-05-01","cr"
2,"Me Rehúso","Danny Ocean",687629,"6Zosz8w6CmdGMZM6p4JlbQ","2017-05-01","cr"
3,"Felices los 4","Maluma",589180,"0qYTZCo5Bwh1nsUFGZP3zn","2017-05-01","cr"
4,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",549873,"4aWmUDTfIPGksMNLV2rQP2","2017-05-01","cr"
5,"Ahora Dice","Chris Jeday",509024,"22eADXu8DfOAUEDw4vU8qy","2017-05-01","cr"
6,"Despacito - Remix","Luis Fonsi",418917,"5CtI0qwDJkDQGwXD1H1cLb","2017-05-01","cr"
