"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",820135,"4aWmUDTfIPGksMNLV2rQP2","2017-01-01","ec"
2,"Otra Vez (feat. J Balvin)","Zion & Lennox",309280,"3QwBODjSEzelZyVjxPOHdq","2017-01-01","ec"
3,"Reggaetón Lento (Bailemos)","CNCO",256928,"3AEZUABDXNtecAOSC1qTfo","2017-01-01","ec"
4,"Chantaje","Shakira",218494,"6mICuAdrwEjh6Y6lroV2Kg","2017-01-01","ec"
5,"Vacaciones","Wisin",262799,"3dQDid3IUNhZy1OehIfYfE","2017-01-01","ec"
6,"Shape of You","Ed Sheeran",160782,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","ec"
7,"Safari","J Balvin",138921,"6rQSrBHf7HlZjtcMZ4S4bO","2017-01-01","ec"
8,"Ay Mi Dios","IAmChino",242105,"6stYbAJgTszHAHZMPxWWCY","2017-01-01","ec"
9,"Corazón","Maluma",152280,"4lESS6vuruP6a79KWRaQou","2017-01-01","ec"
10,"Sensualidad","Bad Bunny",115144,"5hcisvFMidkMJlElTO9Qmw","2017-01-01","ec"
11,"El Amante","Nicky Jam",0,"3umS4y3uQDkqekNjVpiRUs","2017-01-01","ec"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-01-01","ec"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-01-01","ec"
11,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",0,"5q2JbCNi4FcnglgPfxcV65","2017-01-01","ec"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","ec"
11,"Báilame","Nacho",0,"7lRsNbdOGykkMAgsqs4R1C","2017-01-01","ec"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-01-01","ec"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-01-01","ec"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-01-01","ec"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-01-01","ec"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-01-01","ec"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-01-01","ec"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-01-01","ec"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-01-01","ec"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-01-01","ec"
11,"Si Tú La Ves","Nicky Jam",0,"4yN6xPLopmTLvc27pO9LIE","2017-01-01","ec"
11,"Vivo Pensando En Ti","Felipe Peláez",0,"0H7cz1bR7w9PulJL7Na774","2017-01-01","ec"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-01-01","ec"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-01-01","ec"
11,"Suena El Dembow","Joey Montana",0,"5TysCiZtv1HnSWcTcUFusI","2017-01-01","ec"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-01-01","ec"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-01-01","ec"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-01-01","ec"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-01-01","ec"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-01-01","ec"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-01-01","ec"
11,"Robarte un Beso","Carlos Vives",0,"0JcNysfWVWaMS7R6vzGB2k","2017-01-01","ec"
11,"Downtown","Anitta",0,"3Ga6eKrUFf12ouh9Yw3v2D","2017-01-01","ec"
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",1201649,"4aWmUDTfIPGksMNLV2rQP2","2017-02-01","ec"
2,"Shape of You","Ed Sheeran",599074,"7qiZfU4dY1lWllzX7mPBI3","2017-02-01","ec"
3,"El Amante","Nicky Jam",550358,"3umS4y3uQDkqekNjVpiRUs","2017-02-01","ec"
4,"Reggaetón Lento (Bailemos)","CNCO",478264,"3AEZUABDXNtecAOSC1qTfo","2017-02-01","ec"
5,"Otra Vez (feat. J Balvin)","Zion & Lennox",412848,"3QwBODjSEzelZyVjxPOHdq","2017-02-01","ec"
6,"Chantaje","Shakira",415979,"6mICuAdrwEjh6Y6lroV2Kg","2017-02-01","ec"
7,"Vacaciones","Wisin",365224,"3dQDid3IUNhZy1OehIfYfE","2017-02-01","ec"
8,"Safari","J Balvin",318995,"6rQSrBHf7HlZjtcMZ4S4bO","2017-02-01","ec"
9,"Me Rehúso","Danny Ocean",194233,"6De0lHrwBfPfrhorm9q1Xl","2017-02-01","ec"
10,"Ay Mi Dios","IAmChino",307588,"6stYbAJgTszHAHZMPxWWCY","2017-02-01","ec"
11,"Corazón","Maluma",0,"4lESS6vuruP6a79KWRaQou","2017-02-01","ec"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-02-01","ec"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-02-01","ec"
11,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",0,"5q2JbCNi4FcnglgPfxcV65","2017-02-01","ec"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-02-01","ec"
11,"Báilame","Nacho",0,"7lRsNbdOGykkMAgsqs4R1C","2017-02-01","ec"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-02-01","ec"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-02-01","ec"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-02-01","ec"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-02-01","ec"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-02-01","ec"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-02-01","ec"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-02-01","ec"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-02-01","ec"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-02-01","ec"
11,"Si Tú La Ves","Nicky Jam",0,"4yN6xPLopmTLvc27pO9LIE","2017-02-01","ec"
11,"Vivo Pensando En Ti","Felipe Peláez",0,"0H7cz1bR7w9PulJL7Na774","2017-02-01","ec"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-02-01","ec"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-02-01","ec"
