"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Shape of You","Ed Sheeran",190021,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","ee"
2,"Starboy","The Weeknd",43536,"5aAx2yezTd8zXrkmtKl66Z","2017-01-01","ee"
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",42949,"3NdDpSvN911VPGivFlV5d0","2017-01-01","ee"
4,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",44747,"5knuzwU65gJK7IF5yJsuaW","2017-01-01","ee"
5,"Paris","The Chainsmokers",33454,"72jbDTw1piOOj770jWNeaG","2017-01-01","ee"
6,"I Feel It Coming","The Weeknd",30701,"5GXAXm5YOmYT0kL5jHvYBt","2017-01-01","ee"
7,"Tuesday","Burak Yeter",23282,"7abpmGpF7PGep2rDU68GBR","2017-01-01","ee"
8,"Call On Me - Ryan Riback Extended Remix","Starley",23360,"78rIJddV4X0HkNAInEcYde","2017-01-01","ee"
9,"Scared to Be Lonely","Martin Garrix",12953,"3ebXMykcMXOcLeJ9xZ17XH","2017-01-01","ee"
10,"Closer","The Chainsmokers",7998,"7BKLCZ1jbUBVqRi2FVlTVw","2017-01-01","ee"
11,"Castle on the Hill","Ed Sheeran",0,"6PCUP3dWmTjcTtXY02oFdT","2017-01-01","ee"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-01-01","ee"
11,"Chained To The Rhythm","Katy Perry",0,"6520aj0B4FSKGVuKNsOCOi","2017-01-01","ee"
11,"Hear Me Now","Alok",0,"1a5Yu5L18qNxVhXx38njON","2017-01-01","ee"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-01-01","ee"
11,"Galway Girl","Ed Sheeran",0,"0afhq8XCExXpqazXczTSve","2017-01-01","ee"
11,"Passionfruit","Drake",0,"7hDc8b7IXETo14hHIHdnhd","2017-01-01","ee"
11,"Stay (with Alessia Cara)","Zedd",0,"0dA2Mk56wEzDgegdC6R17g","2017-01-01","ee"
11,"HUMBLE.","Kendrick Lamar",0,"7KXjTSCq5nL1LoYtL7XAwS","2017-01-01","ee"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-01-01","ee"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","ee"
11,"DNA.","Kendrick Lamar",0,"6HZILIRieu8S0iqY8kIKhj","2017-01-01","ee"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-01-01","ee"
11,"There's Nothing Holdin' Me Back","Shawn Mendes",0,"79cuOz3SPQTuFrp8WgftAu","2017-01-01","ee"
11,"Mask Off","Future",0,"3rOSwuTsUlJp0Pu0MkN8r8","2017-01-01","ee"
11,"Bad Liar","Selena Gomez",0,"1sCxVKWImDZSZKvG0U9B23","2017-01-01","ee"
11,"There for You","Martin Garrix",0,"6jA8HL9i4QGzsj6fjoxp8Y","2017-01-01","ee"
11,"2U (feat. Justin Bieber)","David Guetta",0,"3A7qX2QjDlPnazUsRk5y0M","2017-01-01","ee"
11,"I'm the One","DJ Khaled",0,"3DXncPQOG4VBw3QHh3S817","2017-01-01","ee"
11,"Mama","Jonas Blue",0,"0NiXXAI876aGImAd6rTj8w","2017-01-01","ee"
11,"Attention","Charlie Puth",0,"4iLqG9SeJSnt0cSPICSjxv","2017-01-01","ee"
11,"Thunder","Imagine Dragons",0,"0tKcYR2II1VCQWT79i5NrW","2017-01-01","ee"
11,"More Than You Know","Axwell /\ Ingrosso",0,"3PEgB3fkiojxms35ntsTgs","2017-01-01","ee"
11,"More Than You Know","Axwell /\ Ingrosso",0,"4q8PHoRsPUB52LFylX8Ulz","2017-01-01","ee"
11,"Feels","Calvin Harris",0,"5bcTCxgc7xVfSaMV3RuVke","2017-01-01","ee"
11,"Unforgettable","French Montana",0,"3B54sVLJ402zGa6Xm4YGNe","2017-01-01","ee"
11,"Mama","Jonas Blue",0,"4xlrALxuaCf9yZBHJeTSG6","2017-01-01","ee"
11,"Wild Thoughts","DJ Khaled",0,"1OAh8uOEOvTDqkKFsKksCi","2017-01-01","ee"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-01-01","ee"
11,"New Rules","Dua Lipa",0,"2ekn2ttSfGqwhhate0LSR0","2017-01-01","ee"
11,"Friends (with BloodPop®)","Justin Bieber",0,"7nZmah2llfvLDiUjm0kiyz","2017-01-01","ee"
11,"Dusk Till Dawn - Radio Edit","ZAYN",0,"1j4kHkkpqZRBwE0A4CN4Yv","2017-01-01","ee"
11,"rockstar","Post Malone",0,"1OmcAT5Y8eg5bUPv9qJT4R","2017-01-01","ee"
11,"Look What You Made Me Do","Taylor Swift",0,"6uFsE1JgZ20EXyU0JQZbUR","2017-01-01","ee"
11,"Silence","Marshmello",0,"7vGuf3Y35N4wmASOKLUVVU","2017-01-01","ee"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"4mxWSdf71VFO52qFeY0fZt","2017-01-01","ee"
11,"rockstar","Post Malone",0,"7wGoVu4Dady5GV0Sv4UIsx","2017-01-01","ee"
11,"Havana","Camila Cabello",0,"0ofbQMrRDsUaVKq2mGLEAb","2017-01-01","ee"
11,"Feel It Still","Portugal. The Man",0,"6QgjcU0zLnzq5OrUoSZ3OK","2017-01-01","ee"
11,"Stargazing","Kygo",0,"0Zbbxnx4SGGHoIow4PpISP","2017-01-01","ee"
11,"Perfect","Ed Sheeran",0,"0tgVpDi06FyKpA1z0VMD4v","2017-01-01","ee"
11,"Wolves","Selena Gomez",0,"7EmGUiUaOSGDnUUQUDrOXC","2017-01-01","ee"
11,"Too Good At Goodbyes","Sam Smith",0,"1mXVgsBdtIVeCLJnSnmtdV","2017-01-01","ee"
11,"Gucci Gang","Lil Pump",0,"43ZyHQITOjhciSUUNPVRHc","2017-01-01","ee"
11,"Let You Down","NF",0,"6mrKP2jyIQmM0rw6fQryjr","2017-01-01","ee"
11,"All I Want for Christmas Is You","Mariah Carey",0,"0bYg9bo50gSsH3LtXe2SQn","2017-01-01","ee"
11,"Him & I (with Halsey)","G-Eazy",0,"5k38wzpLb15YgncyWdTZE4","2017-01-01","ee"
11,"River (feat. Ed Sheeran)","Eminem",0,"5UEnHoDYpsxlfzWLZIc7LD","2017-01-01","ee"
11,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",0,"1bhUWB0zJMIKr9yVPrkEuI","2017-01-01","ee"
11,"Last Christmas","Wham!",0,"2FRnf9qhLbvw8fu4IBXx78","2017-01-01","ee"
11,"Him & I (with Halsey)","G-Eazy",0,"3YU6vJbjYUG0tiJyXf9x5V","2017-01-01","ee"
1,"Shape of You","Ed Sheeran",169173,"7qiZfU4dY1lWllzX7mPBI3","2017-02-01","ee"
