"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Shape of You","Ed Sheeran",4333814,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","fr"
2,"Afro Trap Pt. 7 (La puissance)","MHD",1732836,"6x8j5V85ZJHtvOSjSamcVc","2017-01-01","fr"
3,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",1464850,"5knuzwU65gJK7IF5yJsuaW","2017-01-01","fr"
4,"Mauvaise graine","Nekfeu",1168219,"4kKJ5CjwCtksszPMntho4N","2017-01-01","fr"
5,"rockstar","Post Malone",1033606,"7wGoVu4Dady5GV0Sv4UIsx","2017-01-01","fr"
6,"Je m'en vais","Vianney",827477,"2Vd1vVQaBilW0O6nmU5BkH","2017-01-01","fr"
7,"Reine","Dadju",783504,"2HdCh16tdPjle1rm80Y6q7","2017-01-01","fr"
8,"Starboy","The Weeknd",650058,"5aAx2yezTd8zXrkmtKl66Z","2017-01-01","fr"
9,"Sunset Lover","Petit Biscuit",1028489,"0hNduWmlWmEmuwEFcYvRu1","2017-01-01","fr"
10,"Tchoin","Kaaris",730504,"0ban5QRXUveaKtQPGuaoQ9","2017-01-01","fr"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-01-01","fr"
11,"Tout l'monde s'en fout","Sofiane",0,"7syABtsvHvD3nO7OG91Ani","2017-01-01","fr"
11,"Traîtres","Lacrim",0,"6NOBQsQ2TsAK8ieuFEB0O6","2017-01-01","fr"
11,"Bené","PNL",0,"00X2yv2vrtritPt2CZnUTZ","2017-01-01","fr"
11,"Grande armée","Lacrim",0,"28co1mTCrGIGOeGzqLjSat","2017-01-01","fr"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-01-01","fr"
11,"Call On Me - Ryan Riback Extended Remix","Starley",0,"78rIJddV4X0HkNAInEcYde","2017-01-01","fr"
11,"You Don't Know Me - Radio Edit","Jax Jones",0,"00lNx0OcTJrS3MKHcB80HY","2017-01-01","fr"
11,"Afro Trap Pt. 8 (Never)","MHD",0,"1MUxJxub6ovS0rzTHRgyoF","2017-01-01","fr"
11,"Passionfruit","Drake",0,"7hDc8b7IXETo14hHIHdnhd","2017-01-01","fr"
11,"Castle on the Hill","Ed Sheeran",0,"6PCUP3dWmTjcTtXY02oFdT","2017-01-01","fr"
11,"Mask Off","Future",0,"3rOSwuTsUlJp0Pu0MkN8r8","2017-01-01","fr"
11,"Oh bah oui","Lacrim",0,"0z18wqbjuXTxzaNm4oegU2","2017-01-01","fr"
11,"HUMBLE.","Kendrick Lamar",0,"7KXjTSCq5nL1LoYtL7XAwS","2017-01-01","fr"
11,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",0,"4aWmUDTfIPGksMNLV2rQP2","2017-01-01","fr"
11,"Α. Nwaar Is The New Black","Damso",0,"57U26FwUclMqyZ5ylnPpw1","2017-01-01","fr"
11,"Θ. Macarena","Damso",0,"2UZW9WOPXdxw9YMG1bebS8","2017-01-01","fr"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","fr"
11,"Γ. Mosaïque solitaire","Damso",0,"1E3zyoTHtJzsu5CjwIFIhY","2017-01-01","fr"
11,"Ε. Signaler","Damso",0,"03aduXwm6cTqO9bb4XFQ2b","2017-01-01","fr"
11,"B. #QuedusaalVie","Damso",0,"4HvYhaXDmmAW6ZmPcgPZca","2017-01-01","fr"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-01-01","fr"
11,"Space Jam","Mister V",0,"00cbRAOr6wTPE9WBMejhiM","2017-01-01","fr"
11,"I'm the One","DJ Khaled",0,"3DXncPQOG4VBw3QHh3S817","2017-01-01","fr"
11,"Attention","Charlie Puth",0,"4iLqG9SeJSnt0cSPICSjxv","2017-01-01","fr"
11,"Chocolat (feat. Awa)","Lartiste",0,"4fwtP5khM1iEoa6BP1QQsX","2017-01-01","fr"
11,"Wild Thoughts","DJ Khaled",0,"1OAh8uOEOvTDqkKFsKksCi","2017-01-01","fr"
11,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",0,"6kex4EBAj0WHXDKZMEJaaF","2017-01-01","fr"
11,"Réseaux","Niska",0,"2Pu2Kcm1cwFg4dDSdmFip4","2017-01-01","fr"
11,"Feels","Calvin Harris",0,"5bcTCxgc7xVfSaMV3RuVke","2017-01-01","fr"
11,"Mamacita","Ninho",0,"08GhiNwYij4HNVkBZnJvft","2017-01-01","fr"
11,"Unforgettable","French Montana",0,"3B54sVLJ402zGa6Xm4YGNe","2017-01-01","fr"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-01-01","fr"
11,"Mobali","Siboy",0,"6xcXAVbDuVT1pCsa2rmDHY","2017-01-01","fr"
11,"Suis-moi","Alonzo",0,"54G8osRu1htBw1PQEkYIdL","2017-01-01","fr"
11,"De l'autre côté (feat. Nekfeu)","Ninho",0,"3ldfGgw7IoLHbaqmspX3ME","2017-01-01","fr"
11,"Mamacita","Ninho",0,"35gJuqfvrdlCA2MmAtaD3J","2017-01-01","fr"
11,"Caramelo","Ninho",0,"4fuhLKAuSxRY5OO2hwARlY","2017-01-01","fr"
11,"Réseaux","Niska",0,"2nY6MRHWpW0AGXMoGDJOjX","2017-01-01","fr"
11,"Tuba Life","Niska",0,"2r6C2IEw533mDs3sam5Zxx","2017-01-01","fr"
11,"Rose","Ninho",0,"4Ln4KAwk37peyCh2QpqYnP","2017-01-01","fr"
11,"Medellín","Niska",0,"1gI6FedOWXQ7aSj4FfEiGK","2017-01-01","fr"
11,"Elle m'a eu","Ninho",0,"78DktVruMrKYyv6rjdKDMM","2017-01-01","fr"
11,"Salé","Niska",0,"0uBu60Wd7yzm2sFrj2hSr6","2017-01-01","fr"
11,"Mwaka Moon","Kalash",0,"1vVZLmZq8gN8pPCEBLjPvD","2017-01-01","fr"
