"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Shape of You","Ed Sheeran",27116087,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","gb"
2,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",5406155,"5knuzwU65gJK7IF5yJsuaW","2017-01-01","gb"
3,"I Would Like","Zara Larsson",7594233,"4Q4jmPHwu0wrJvqrld0FQ6","2017-01-01","gb"
4,"You Don't Know Me - Radio Edit","Jax Jones",6724743,"00lNx0OcTJrS3MKHcB80HY","2017-01-01","gb"
5,"Touch","Little Mix",5208236,"5Ua3GXyHwiSfpNTMjq6m2z","2017-01-01","gb"
6,"rockstar","Post Malone",2122038,"7wGoVu4Dady5GV0Sv4UIsx","2017-01-01","gb"
7,"Just Hold On","Steve Aoki",3113229,"3EmmCZoqpWOTY1g2GBwJoR","2017-01-01","gb"
8,"Barking","Ramz",1372622,"7amMgNDcObIDkIXv4xcvc2","2017-01-01","gb"
9,"Starboy","The Weeknd",2028463,"5aAx2yezTd8zXrkmtKl66Z","2017-01-01","gb"
10,"Human","Rag'n'Bone Man",3130910,"58zsLZPvfflaiIbNWoA22O","2017-01-01","gb"
11,"Castle on the Hill","Ed Sheeran",0,"6PCUP3dWmTjcTtXY02oFdT","2017-01-01","gb"
11,"Paris","The Chainsmokers",0,"72jbDTw1piOOj770jWNeaG","2017-01-01","gb"
11,"Call On Me - Ryan Riback Extended Remix","Starley",0,"78rIJddV4X0HkNAInEcYde","2017-01-01","gb"
11,"Big For Your Boots","Stormzy",0,"3uMB82o0qa7erhiZBW9KQC","2017-01-01","gb"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-01-01","gb"
11,"Galway Girl","Ed Sheeran",0,"0afhq8XCExXpqazXczTSve","2017-01-01","gb"
11,"New Man","Ed Sheeran",0,"5HDPtsnyb3maFmPL8LLUTG","2017-01-01","gb"
11,"Passionfruit","Drake",0,"7hDc8b7IXETo14hHIHdnhd","2017-01-01","gb"
11,"Perfect","Ed Sheeran",0,"0tgVpDi06FyKpA1z0VMD4v","2017-01-01","gb"
11,"Happier","Ed Sheeran",0,"2RttW7RAu5nOAfq6YFvApB","2017-01-01","gb"
11,"Blem","Drake",0,"2XlHu0HcujBCkWMdIAvrqt","2017-01-01","gb"
11,"What Do I Know?","Ed Sheeran",0,"2pJZ1v8HezrAoZ0Fhzby92","2017-01-01","gb"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-01-01","gb"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-01-01","gb"
11,"Stay (with Alessia Cara)","Zedd",0,"0dA2Mk56wEzDgegdC6R17g","2017-01-01","gb"
11,"HUMBLE.","Kendrick Lamar",0,"7KXjTSCq5nL1LoYtL7XAwS","2017-01-01","gb"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-01-01","gb"
11,"Solo Dance","Martin Jensen",0,"6HUnnBwYZqcED1eQztxMBN","2017-01-01","gb"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-01-01","gb"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","gb"
11,"There's Nothing Holdin' Me Back","Shawn Mendes",0,"79cuOz3SPQTuFrp8WgftAu","2017-01-01","gb"
