"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Reggaetón Lento (Bailemos)","CNCO",163671,"3AEZUABDXNtecAOSC1qTfo","2017-01-01","gt"
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",284734,"4aWmUDTfIPGksMNLV2rQP2","2017-01-01","gt"
3,"Chantaje","Shakira",157452,"6mICuAdrwEjh6Y6lroV2Kg","2017-01-01","gt"
4,"Otra Vez (feat. J Balvin)","Zion & Lennox",95958,"3QwBODjSEzelZyVjxPOHdq","2017-01-01","gt"
5,"El Amante","Nicky Jam",105620,"3umS4y3uQDkqekNjVpiRUs","2017-01-01","gt"
6,"Sensualidad","Bad Bunny",96778,"5hcisvFMidkMJlElTO9Qmw","2017-01-01","gt"
7,"Safari","J Balvin",92792,"6rQSrBHf7HlZjtcMZ4S4bO","2017-01-01","gt"
8,"Corazón","Maluma",79453,"4lESS6vuruP6a79KWRaQou","2017-01-01","gt"
9,"Let Me Love You","DJ Snake",74153,"4pdPtRcBmOSQDlJ3Fk945m","2017-01-01","gt"
10,"Closer","The Chainsmokers",96515,"7BKLCZ1jbUBVqRi2FVlTVw","2017-01-01","gt"
11,"Shape of You","Ed Sheeran",0,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","gt"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-01-01","gt"
11,"Sigo Extrañándote","J Balvin",0,"6qDF4wWL49CAVbgT7yuHl8","2017-01-01","gt"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-01-01","gt"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-01-01","gt"
11,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",0,"5q2JbCNi4FcnglgPfxcV65","2017-01-01","gt"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","gt"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-01-01","gt"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-01-01","gt"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-01-01","gt"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-01-01","gt"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-01-01","gt"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-01-01","gt"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-01-01","gt"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-01-01","gt"
11,"Tu Foto","Ozuna",0,"0Szp49tpFasIjX04Mcsydp","2017-01-01","gt"
11,"Báilame","Nacho",0,"7lRsNbdOGykkMAgsqs4R1C","2017-01-01","gt"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-01-01","gt"
11,"Krippy Kush","Farruko",0,"3rgjBiAMVGnxmsTDmUy8vb","2017-01-01","gt"
11,"Como Antes","Yandel",0,"5YzA563GXTuwQaRq24z1k5","2017-01-01","gt"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-01-01","gt"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-01-01","gt"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-01-01","gt"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-01-01","gt"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-01-01","gt"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-01-01","gt"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-01-01","gt"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-01-01","gt"
11,"Suena El Dembow","Joey Montana",0,"5TysCiZtv1HnSWcTcUFusI","2017-01-01","gt"
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",614767,"4aWmUDTfIPGksMNLV2rQP2","2017-02-01","gt"
2,"El Amante","Nicky Jam",317646,"3umS4y3uQDkqekNjVpiRUs","2017-02-01","gt"
3,"Reggaetón Lento (Bailemos)","CNCO",284589,"3AEZUABDXNtecAOSC1qTfo","2017-02-01","gt"
4,"Shape of You","Ed Sheeran",269030,"7qiZfU4dY1lWllzX7mPBI3","2017-02-01","gt"
5,"Otra Vez (feat. J Balvin)","Zion & Lennox",259581,"3QwBODjSEzelZyVjxPOHdq","2017-02-01","gt"
6,"Me Rehúso","Danny Ocean",234748,"6De0lHrwBfPfrhorm9q1Xl","2017-02-01","gt"
7,"Chantaje","Shakira",232698,"6mICuAdrwEjh6Y6lroV2Kg","2017-02-01","gt"
8,"Sigo Extrañándote","J Balvin",161750,"6qDF4wWL49CAVbgT7yuHl8","2017-02-01","gt"
9,"Safari","J Balvin",166966,"6rQSrBHf7HlZjtcMZ4S4bO","2017-02-01","gt"
10,"Something Just Like This","The Chainsmokers",41781,"6RUKPb4LETWmmr3iAEQktW","2017-02-01","gt"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-02-01","gt"
11,"Corazón","Maluma",0,"4lESS6vuruP6a79KWRaQou","2017-02-01","gt"
11,"Let Me Love You","DJ Snake",0,"4pdPtRcBmOSQDlJ3Fk945m","2017-02-01","gt"
11,"Closer","The Chainsmokers",0,"7BKLCZ1jbUBVqRi2FVlTVw","2017-02-01","gt"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-02-01","gt"
