"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Reggaetón Lento (Bailemos)","CNCO",100612,"3AEZUABDXNtecAOSC1qTfo","2017-01-01","hn"
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",149830,"4aWmUDTfIPGksMNLV2rQP2","2017-01-01","hn"
3,"Otra Vez (feat. J Balvin)","Zion & Lennox",87009,"3QwBODjSEzelZyVjxPOHdq","2017-01-01","hn"
4,"Chantaje","Shakira",76342,"6mICuAdrwEjh6Y6lroV2Kg","2017-01-01","hn"
5,"Shape of You","Ed Sheeran",75416,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","hn"
6,"Safari","J Balvin",71784,"6rQSrBHf7HlZjtcMZ4S4bO","2017-01-01","hn"
7,"Criminal","Natti Natasha",42951,"6Za3190Sbw39BBC77WSS1C","2017-01-01","hn"
8,"Let Me Love You","DJ Snake",71972,"4pdPtRcBmOSQDlJ3Fk945m","2017-01-01","hn"
9,"Closer","The Chainsmokers",67223,"7BKLCZ1jbUBVqRi2FVlTVw","2017-01-01","hn"
10,"Échame La Culpa","Luis Fonsi",38297,"1zsG4eaZmkA1dvjDDsAGLK","2017-01-01","hn"
11,"El Amante","Nicky Jam",0,"3umS4y3uQDkqekNjVpiRUs","2017-01-01","hn"
11,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",0,"5q2JbCNi4FcnglgPfxcV65","2017-01-01","hn"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-01-01","hn"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-01-01","hn"
11,"Sigo Extrañándote","J Balvin",0,"6qDF4wWL49CAVbgT7yuHl8","2017-01-01","hn"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-01-01","hn"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","hn"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-01-01","hn"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-01-01","hn"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-01-01","hn"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-01-01","hn"
11,"Tu Foto","Ozuna",0,"0Szp49tpFasIjX04Mcsydp","2017-01-01","hn"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-01-01","hn"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-01-01","hn"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-01-01","hn"
11,"Krippy Kush","Farruko",0,"3rgjBiAMVGnxmsTDmUy8vb","2017-01-01","hn"
