"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Shape of You","Ed Sheeran",1800735,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","id"
2,"Say You Won't Let Go","James Arthur",958419,"5uCax9HTNlzGybIStD3vDh","2017-01-01","id"
3,"Closer","The Chainsmokers",700655,"7BKLCZ1jbUBVqRi2FVlTVw","2017-01-01","id"
4,"Bad Things (with Camila Cabello)","Machine Gun Kelly",969190,"1PSBzsahR2AKwLJgx8ehBj","2017-01-01","id"
5,"All We Know","The Chainsmokers",694442,"2rizacJSyD9S1IQUxUxnsK","2017-01-01","id"
6,"Don't Wanna Know","Maroon 5",632744,"5MFzQMkrl1FOOng9tq6R9r","2017-01-01","id"
7,"Too Good At Goodbyes","Sam Smith",581937,"1mXVgsBdtIVeCLJnSnmtdV","2017-01-01","id"
8,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",439488,"3NdDpSvN911VPGivFlV5d0","2017-01-01","id"
9,"Wolves","Selena Gomez",393031,"7EmGUiUaOSGDnUUQUDrOXC","2017-01-01","id"
10,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",623480,"5knuzwU65gJK7IF5yJsuaW","2017-01-01","id"
11,"Paris","The Chainsmokers",0,"72jbDTw1piOOj770jWNeaG","2017-01-01","id"
11,"Scared to Be Lonely","Martin Garrix",0,"3ebXMykcMXOcLeJ9xZ17XH","2017-01-01","id"
11,"Versace On The Floor","Bruno Mars",0,"0kN8xEmgMW9mh7UmDYHlJP","2017-01-01","id"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-01-01","id"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-01-01","id"
11,"That's What I Like","Bruno Mars",0,"0KKkJNfGyhkQ5aFogxQAPU","2017-01-01","id"
11,"Stay (with Alessia Cara)","Zedd",0,"0dA2Mk56wEzDgegdC6R17g","2017-01-01","id"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-01-01","id"
11,"Asal Kau Bahagia","Armada",0,"41dswHw9sCLChDgXyVS4kC","2017-01-01","id"
11,"Good Life (with G-Eazy & Kehlani)","G-Eazy",0,"1Eck97uRMlprKOOJN9oO1E","2017-01-01","id"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","id"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-01-01","id"
11,"Attention","Charlie Puth",0,"4iLqG9SeJSnt0cSPICSjxv","2017-01-01","id"
11,"I'm the One","DJ Khaled",0,"3DXncPQOG4VBw3QHh3S817","2017-01-01","id"
11,"2U (feat. Justin Bieber)","David Guetta",0,"3A7qX2QjDlPnazUsRk5y0M","2017-01-01","id"
11,"There for You","Martin Garrix",0,"6jA8HL9i4QGzsj6fjoxp8Y","2017-01-01","id"
11,"Mama","Jonas Blue",0,"0NiXXAI876aGImAd6rTj8w","2017-01-01","id"
11,"Feels","Calvin Harris",0,"5bcTCxgc7xVfSaMV3RuVke","2017-01-01","id"
11,"Strip That Down","Liam Payne",0,"6EpRaXYhGOB3fj4V2uDkMJ","2017-01-01","id"
11,"Mama","Jonas Blue",0,"4xlrALxuaCf9yZBHJeTSG6","2017-01-01","id"
11,"Akad","Payung Teduh",0,"5CwcXgsF9jcyqwkl5uxKnD","2017-01-01","id"
11,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",0,"7F9vK8hNFMml4GtHsaXui6","2017-01-01","id"
11,"New Rules","Dua Lipa",0,"2ekn2ttSfGqwhhate0LSR0","2017-01-01","id"
11,"Friends (with BloodPop®)","Justin Bieber",0,"7nZmah2llfvLDiUjm0kiyz","2017-01-01","id"
11,"Look What You Made Me Do","Taylor Swift",0,"6uFsE1JgZ20EXyU0JQZbUR","2017-01-01","id"
11,"Too Good At Goodbyes - Edit","Sam Smith",0,"0mel2N9Ws9r4yLQn5QE21Y","2017-01-01","id"
11,"Dusk Till Dawn - Radio Edit","ZAYN",0,"1j4kHkkpqZRBwE0A4CN4Yv","2017-01-01","id"
11,"DNA","BTS",0,"5SE57ljOIUJ1ybL9U6CuBH","2017-01-01","id"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"4mxWSdf71VFO52qFeY0fZt","2017-01-01","id"
11,"Perfect","Ed Sheeran",0,"0tgVpDi06FyKpA1z0VMD4v","2017-01-01","id"
11,"Havana","Camila Cabello",0,"0ofbQMrRDsUaVKq2mGLEAb","2017-01-01","id"
11,"How Long","Charlie Puth",0,"32DGGj6KlNuBr6WaqRxpxi","2017-01-01","id"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"3hBBKuWJfxlIlnd9QFoC8k","2017-01-01","id"
11,"Silence","Marshmello",0,"7vGuf3Y35N4wmASOKLUVVU","2017-01-01","id"
11,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",0,"1bhUWB0zJMIKr9yVPrkEuI","2017-01-01","id"
11,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",0,"5AEtlRudpgdT5FtNiuly6Y","2017-01-01","id"
1,"Shape of You","Ed Sheeran",2505897,"7qiZfU4dY1lWllzX7mPBI3","2017-02-01","id"
2,"Say You Won't Let Go","James Arthur",1682304,"5uCax9HTNlzGybIStD3vDh","2017-02-01","id"
3,"Paris","The Chainsmokers",1601945,"72jbDTw1piOOj770jWNeaG","2017-02-01","id"
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",1512755,"3NdDpSvN911VPGivFlV5d0","2017-02-01","id"
5,"Scared to Be Lonely","Martin Garrix",1482857,"3ebXMykcMXOcLeJ9xZ17XH","2017-02-01","id"
6,"Versace On The Floor","Bruno Mars",1368425,"0kN8xEmgMW9mh7UmDYHlJP","2017-02-01","id"
7,"Bad Things (with Camila Cabello)","Machine Gun Kelly",1230310,"1PSBzsahR2AKwLJgx8ehBj","2017-02-01","id"
8,"Closer","The Chainsmokers",974414,"7BKLCZ1jbUBVqRi2FVlTVw","2017-02-01","id"
9,"It Ain't Me (with Selena Gomez)","Kygo",595294,"3eR23VReFzcdmS7TYCrhCe","2017-02-01","id"
10,"Something Just Like This","The Chainsmokers",655816,"6RUKPb4LETWmmr3iAEQktW","2017-02-01","id"
11,"All We Know","The Chainsmokers",0,"2rizacJSyD9S1IQUxUxnsK","2017-02-01","id"
11,"Don't Wanna Know","Maroon 5",0,"5MFzQMkrl1FOOng9tq6R9r","2017-02-01","id"
11,"Too Good At Goodbyes","Sam Smith",0,"1mXVgsBdtIVeCLJnSnmtdV","2017-02-01","id"
11,"Wolves","Selena Gomez",0,"7EmGUiUaOSGDnUUQUDrOXC","2017-02-01","id"
11,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",0,"5knuzwU65gJK7IF5yJsuaW","2017-02-01","id"
11,"That's What I Like","Bruno Mars",0,"0KKkJNfGyhkQ5aFogxQAPU","2017-02-01","id"
11,"Stay (with Alessia Cara)","Zedd",0,"0dA2Mk56wEzDgegdC6R17g","2017-02-01","id"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-02-01","id"
11,"Asal Kau Bahagia","Armada",0,"41dswHw9sCLChDgXyVS4kC","2017-02-01","id"
11,"Good Life (with G-Eazy & Kehlani)","G-Eazy",0,"1Eck97uRMlprKOOJN9oO1E","2017-02-01","id"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-02-01","id"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-02-01","id"
11,"Attention","Charlie Puth",0,"4iLqG9SeJSnt0cSPICSjxv","2017-02-01","id"
11,"I'm the One","DJ Khaled",0,"3DXncPQOG4VBw3QHh3S817","2017-02-01","id"
11,"2U (feat. Justin Bieber)","David Guetta",0,"3A7qX2QjDlPnazUsRk5y0M","2017-02-01","id"
11,"There for You","Martin Garrix",0,"6jA8HL9i4QGzsj6fjoxp8Y","2017-02-01","id"
11,"Mama","Jonas Blue",0,"0NiXXAI876aGImAd6rTj8w","2017-02-01","id"
11,"Feels","Calvin Harris",0,"5bcTCxgc7xVfSaMV3RuVke","2017-02-01","id"
11,"Strip That Down","Liam Payne",0,"6EpRaXYhGOB3fj4V2uDkMJ","2017-02-01","id"
11,"Mama","Jonas Blue",0,"4xlrALxuaCf9yZBHJeTSG6","2017-02-01","id"
11,"Akad","Payung Teduh",0,"5CwcXgsF9jcyqwkl5uxKnD","2017-02-01","id"
11,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",0,"7F9vK8hNFMml4GtHsaXui6","2017-02-01","id"
11,"New Rules","Dua Lipa",0,"2ekn2ttSfGqwhhate0LSR0","2017-02-01","id"
11,"Friends (with BloodPop®)","Justin Bieber",0,"7nZmah2llfvLDiUjm0kiyz","2017-02-01","id"
11,"Look What You Made Me Do","Taylor Swift",0,"6uFsE1JgZ20EXyU0JQZbUR","2017-02-01","id"
11,"Too Good At Goodbyes - Edit","Sam Smith",0,"0mel2N9Ws9r4yLQn5QE21Y","2017-02-01","id"
11,"Dusk Till Dawn - Radio Edit","ZAYN",0,"1j4kHkkpqZRBwE0A4CN4Yv","2017-02-01","id"
11,"DNA","BTS",0,"5SE57ljOIUJ1ybL9U6CuBH","2017-02-01","id"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"4mxWSdf71VFO52qFeY0fZt","2017-02-01","id"
