"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Shape of You","Ed Sheeran",145890,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","lv"
2,"Starboy","The Weeknd",49975,"5aAx2yezTd8zXrkmtKl66Z","2017-01-01","lv"
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",46033,"3NdDpSvN911VPGivFlV5d0","2017-01-01","lv"
4,"Call On Me - Ryan Riback Extended Remix","Starley",36777,"78rIJddV4X0HkNAInEcYde","2017-01-01","lv"
5,"Him & I (with Halsey)","G-Eazy",24651,"5k38wzpLb15YgncyWdTZE4","2017-01-01","lv"
6,"I Feel It Coming","The Weeknd",29082,"5GXAXm5YOmYT0kL5jHvYBt","2017-01-01","lv"
7,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",22337,"5knuzwU65gJK7IF5yJsuaW","2017-01-01","lv"
8,"Paris","The Chainsmokers",19438,"72jbDTw1piOOj770jWNeaG","2017-01-01","lv"
9,"Wolves","Selena Gomez",12464,"7EmGUiUaOSGDnUUQUDrOXC","2017-01-01","lv"
10,"Castle on the Hill","Ed Sheeran",12227,"6PCUP3dWmTjcTtXY02oFdT","2017-01-01","lv"
11,"Scared to Be Lonely","Martin Garrix",0,"3ebXMykcMXOcLeJ9xZ17XH","2017-01-01","lv"
11,"Chained To The Rhythm","Katy Perry",0,"6520aj0B4FSKGVuKNsOCOi","2017-01-01","lv"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-01-01","lv"
11,"Issues","Julia Michaels",0,"1sXUWdKx03aP9Gmzft58rt","2017-01-01","lv"
11,"Line","Triana Park",0,"3ETIdeZcAiPQkHS1h0lyiY","2017-01-01","lv"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-01-01","lv"
11,"Believer","Imagine Dragons",0,"0CcQNd8CINkwQfe1RDtGV6","2017-01-01","lv"
11,"Passionfruit","Drake",0,"7hDc8b7IXETo14hHIHdnhd","2017-01-01","lv"
11,"Stay (with Alessia Cara)","Zedd",0,"0dA2Mk56wEzDgegdC6R17g","2017-01-01","lv"
11,"HUMBLE.","Kendrick Lamar",0,"7KXjTSCq5nL1LoYtL7XAwS","2017-01-01","lv"
11,"Mask Off","Future",0,"3rOSwuTsUlJp0Pu0MkN8r8","2017-01-01","lv"
