"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Shape of You","Ed Sheeran",7958168,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","nl"
2,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",4003663,"5knuzwU65gJK7IF5yJsuaW","2017-01-01","nl"
3,"Call On Me - Ryan Riback Extended Remix","Starley",2892167,"78rIJddV4X0HkNAInEcYde","2017-01-01","nl"
4,"Say You Won't Let Go","James Arthur",1651509,"5uCax9HTNlzGybIStD3vDh","2017-01-01","nl"
5,"4/5","Ronnie Flex",1790076,"7cAxokBbnclXF6skY38Nd9","2017-01-01","nl"
6,"Castle on the Hill","Ed Sheeran",1736389,"6PCUP3dWmTjcTtXY02oFdT","2017-01-01","nl"
7,"River (feat. Ed Sheeran)","Eminem",1332796,"5UEnHoDYpsxlfzWLZIc7LD","2017-01-01","nl"
8,"Energie","Ronnie Flex",789710,"1riPE3NCV1OBmSXqpYiMJY","2017-01-01","nl"
9,"Het Is Een Feit","Broederliefde",1007888,"0iuLGMsB9xBbg5D4iabTtT","2017-01-01","nl"
10,"Starboy","The Weeknd",743733,"5aAx2yezTd8zXrkmtKl66Z","2017-01-01","nl"
11,"Scared to Be Lonely","Martin Garrix",0,"3ebXMykcMXOcLeJ9xZ17XH","2017-01-01","nl"
11,"Paris","The Chainsmokers",0,"72jbDTw1piOOj770jWNeaG","2017-01-01","nl"
11,"Tempo (feat. Sevn Alias, Bko & Boef)","Jairzinho",0,"2YeKWxs3kfBFt7UduCEXub","2017-01-01","nl"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-01-01","nl"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-01-01","nl"
11,"Habiba","Boef",0,"6G41AeVgQkpvEbTxN5fNkW","2017-01-01","nl"
11,"Salam","Boef",0,"5zhTxSctAPGFmXSZ7RPmxG","2017-01-01","nl"
11,"Slapend Rijk","Boef",0,"3PiDnD8RhPrlmzMpAgF9xK","2017-01-01","nl"
11,"Galway Girl","Ed Sheeran",0,"0afhq8XCExXpqazXczTSve","2017-01-01","nl"
11,"Ik Ga Weg","Boef",0,"7LQtFOR1rnk9T8cKtByX7k","2017-01-01","nl"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-01-01","nl"
11,"Alleen","Lil' Kleine",0,"1VDFn1PCpp8EOXLMURS8kP","2017-01-01","nl"
