"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Shape of You","Ed Sheeran",5033744,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","no"
2,"Alone","Alan Walker",1555957,"0JiVRyTJcJnmlwCZ854K4p","2017-01-01","no"
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",1434137,"3NdDpSvN911VPGivFlV5d0","2017-01-01","no"
4,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",1610222,"5knuzwU65gJK7IF5yJsuaW","2017-01-01","no"
5,"Castle on the Hill","Ed Sheeran",1272459,"6PCUP3dWmTjcTtXY02oFdT","2017-01-01","no"
6,"Paris","The Chainsmokers",1196182,"72jbDTw1piOOj770jWNeaG","2017-01-01","no"
7,"Hear Me Now","Alok",1351209,"1a5Yu5L18qNxVhXx38njON","2017-01-01","no"
8,"All Falls Down","Alan Walker",583439,"5yFSF6qQA1rcLsQRnBsZgb","2017-01-01","no"
9,"I Feel It Coming","The Weeknd",886910,"5GXAXm5YOmYT0kL5jHvYBt","2017-01-01","no"
10,"rockstar","Post Malone",419898,"7wGoVu4Dady5GV0Sv4UIsx","2017-01-01","no"
11,"Scared to Be Lonely","Martin Garrix",0,"3ebXMykcMXOcLeJ9xZ17XH","2017-01-01","no"
11,"Issues","Julia Michaels",0,"1sXUWdKx03aP9Gmzft58rt","2017-01-01","no"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-01-01","no"
11,"Chained To The Rhythm","Katy Perry",0,"6520aj0B4FSKGVuKNsOCOi","2017-01-01","no"
11,"Galway Girl","Ed Sheeran",0,"0afhq8XCExXpqazXczTSve","2017-01-01","no"
11,"Breathe","Astrid S",0,"4fhVodXZARPX0oTuQh8V9l","2017-01-01","no"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-01-01","no"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-01-01","no"
11,"Weak","AJR",0,"3E2Zh20GDCR9B1EYjfXWyv","2017-01-01","no"
11,"Tuesday","Burak Yeter",0,"7abpmGpF7PGep2rDU68GBR","2017-01-01","no"
11,"Fy Faen","Hkeem",0,"6EcTjceNc3WhEqrWzXIFwA","2017-01-01","no"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","no"
11,"Good Life (with G-Eazy & Kehlani)","G-Eazy",0,"1Eck97uRMlprKOOJN9oO1E","2017-01-01","no"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-01-01","no"
11,"First Time","Kygo",0,"2Gl0FzuLxflY6nPifJp5Dr","2017-01-01","no"
