"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",293846,"4aWmUDTfIPGksMNLV2rQP2","2017-01-01","pa"
2,"Otra Vez (feat. J Balvin)","Zion & Lennox",134861,"3QwBODjSEzelZyVjxPOHdq","2017-01-01","pa"
3,"Chantaje","Shakira",127457,"6mICuAdrwEjh6Y6lroV2Kg","2017-01-01","pa"
4,"Reggaetón Lento (Bailemos)","CNCO",87862,"3AEZUABDXNtecAOSC1qTfo","2017-01-01","pa"
5,"Vente Pa' Ca","Ricky Martin",111498,"7DM4BPaS7uofFul3ywMe46","2017-01-01","pa"
6,"Échame La Culpa","Luis Fonsi",75260,"1zsG4eaZmkA1dvjDDsAGLK","2017-01-01","pa"
7,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",99001,"5q2JbCNi4FcnglgPfxcV65","2017-01-01","pa"
8,"Safari","J Balvin",54743,"6rQSrBHf7HlZjtcMZ4S4bO","2017-01-01","pa"
9,"Criminal","Natti Natasha",64277,"6Za3190Sbw39BBC77WSS1C","2017-01-01","pa"
10,"Shape of You","Ed Sheeran",57376,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","pa"
11,"El Amante","Nicky Jam",0,"3umS4y3uQDkqekNjVpiRUs","2017-01-01","pa"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-01-01","pa"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-01-01","pa"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-01-01","pa"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-01-01","pa"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-01-01","pa"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","pa"
11,"Báilame","Nacho",0,"7lRsNbdOGykkMAgsqs4R1C","2017-01-01","pa"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-01-01","pa"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-01-01","pa"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-01-01","pa"
11,"Tu Foto","Ozuna",0,"0Szp49tpFasIjX04Mcsydp","2017-01-01","pa"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-01-01","pa"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-01-01","pa"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-01-01","pa"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-01-01","pa"
11,"Krippy Kush","Farruko",0,"3rgjBiAMVGnxmsTDmUy8vb","2017-01-01","pa"
11,"El Farsante","DJ Jonathan",0,"66gNNRsKkmECPQUrvpMQtS","2017-01-01","pa"
11,"El Farsante","Ozuna",0,"2LW4Zu7FcrwjWm3t5Rv3Oq","2017-01-01","pa"
11,"Suena El Dembow","Joey Montana",0,"5TysCiZtv1HnSWcTcUFusI","2017-01-01","pa"
11,"El Farsante","Ozuna",0,"5EId1m4DNwTf3at31w8bPJ","2017-01-01","pa"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-01-01","pa"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-01-01","pa"
11,"Tú Foto","Ozuna",0,"5zSOVwaY3sVjnmLhuEfsuf","2017-01-01","pa"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-01-01","pa"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-01-01","pa"
11,"Vuelve","Daddy Yankee",0,"0lJCqIx5BhZtf6QtYI2fbv","2017-01-01","pa"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-01-01","pa"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-01-01","pa"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-01-01","pa"
11,"Chambea","Bad Bunny",0,"6ElmxV9B2mSNscEjP27M7i","2017-01-01","pa"
11,"Downtown","Anitta",0,"3Ga6eKrUFf12ouh9Yw3v2D","2017-01-01","pa"
11,"Corazón","Maluma",0,"4lESS6vuruP6a79KWRaQou","2017-01-01","pa"
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",529416,"4aWmUDTfIPGksMNLV2rQP2","2017-02-01","pa"
2,"El Amante","Nicky Jam",291703,"3umS4y3uQDkqekNjVpiRUs","2017-02-01","pa"
3,"Shape of You","Ed Sheeran",258986,"7qiZfU4dY1lWllzX7mPBI3","2017-02-01","pa"
4,"Reggaetón Lento (Bailemos)","CNCO",240615,"3AEZUABDXNtecAOSC1qTfo","2017-02-01","pa"
5,"Chantaje","Shakira",211268,"6mICuAdrwEjh6Y6lroV2Kg","2017-02-01","pa"
6,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",209633,"5q2JbCNi4FcnglgPfxcV65","2017-02-01","pa"
7,"Otra Vez (feat. J Balvin)","Zion & Lennox",197096,"3QwBODjSEzelZyVjxPOHdq","2017-02-01","pa"
8,"Safari","J Balvin",161581,"6rQSrBHf7HlZjtcMZ4S4bO","2017-02-01","pa"
9,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",55898,"3NdDpSvN911VPGivFlV5d0","2017-02-01","pa"
10,"Vente Pa' Ca","Ricky Martin",88954,"7DM4BPaS7uofFul3ywMe46","2017-02-01","pa"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-02-01","pa"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-02-01","pa"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-02-01","pa"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-02-01","pa"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-02-01","pa"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-02-01","pa"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-02-01","pa"
11,"Báilame","Nacho",0,"7lRsNbdOGykkMAgsqs4R1C","2017-02-01","pa"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-02-01","pa"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-02-01","pa"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-02-01","pa"
11,"Tu Foto","Ozuna",0,"0Szp49tpFasIjX04Mcsydp","2017-02-01","pa"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-02-01","pa"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-02-01","pa"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-02-01","pa"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-02-01","pa"
11,"Krippy Kush","Farruko",0,"3rgjBiAMVGnxmsTDmUy8vb","2017-02-01","pa"
11,"El Farsante","DJ Jonathan",0,"66gNNRsKkmECPQUrvpMQtS","2017-02-01","pa"
11,"El Farsante","Ozuna",0,"2LW4Zu7FcrwjWm3t5Rv3Oq","2017-02-01","pa"
11,"Suena El Dembow","Joey Montana",0,"5TysCiZtv1HnSWcTcUFusI","2017-02-01","pa"
11,"El Farsante","Ozuna",0,"5EId1m4DNwTf3at31w8bPJ","2017-02-01","pa"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-02-01","pa"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-02-01","pa"
11,"Tú Foto","Ozuna",0,"5zSOVwaY3sVjnmLhuEfsuf","2017-02-01","pa"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-02-01","pa"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-02-01","pa"
11,"Vuelve","Daddy Yankee",0,"0lJCqIx5BhZtf6QtYI2fbv","2017-02-01","pa"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-02-01","pa"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-02-01","pa"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-02-01","pa"
11,"Chambea","Bad Bunny",0,"6ElmxV9B2mSNscEjP27M7i","2017-02-01","pa"
11,"Downtown","Anitta",0,"3Ga6eKrUFf12ouh9Yw3v2D","2017-02-01","pa"
11,"Corazón","Maluma",0,"4lESS6vuruP6a79KWRaQou","2017-02-01","pa"
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",376047,"4aWmUDTfIPGksMNLV2rQP2","2017-03-01","pa"
2,"Shape of You","Ed Sheeran",297211,"7qiZfU4dY1lWllzX7mPBI3","2017-03-01","pa"
3,"El Amante","Nicky Jam",247775,"3umS4y3uQDkqekNjVpiRUs","2017-03-01","pa"
4,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",208648,"5q2JbCNi4FcnglgPfxcV65","2017-03-01","pa"
5,"Reggaetón Lento (Bailemos)","CNCO",198159,"3AEZUABDXNtecAOSC1qTfo","2017-03-01","pa"
6,"SUBEME LA RADIO","Enrique Iglesias",168563,"7nKBxz47S9SD79N086fuhn","2017-03-01","pa"
7,"Otra Vez (feat. J Balvin)","Zion & Lennox",178298,"3QwBODjSEzelZyVjxPOHdq","2017-03-01","pa"
8,"Me Rehúso","Danny Ocean",130221,"6De0lHrwBfPfrhorm9q1Xl","2017-03-01","pa"
9,"Chantaje","Shakira",134846,"6mICuAdrwEjh6Y6lroV2Kg","2017-03-01","pa"
10,"It Ain't Me (with Selena Gomez)","Kygo",112580,"3eR23VReFzcdmS7TYCrhCe","2017-03-01","pa"
11,"Vente Pa' Ca","Ricky Martin",0,"7DM4BPaS7uofFul3ywMe46","2017-03-01","pa"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-03-01","pa"
11,"Safari","J Balvin",0,"6rQSrBHf7HlZjtcMZ4S4bO","2017-03-01","pa"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-03-01","pa"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-03-01","pa"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-03-01","pa"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-03-01","pa"
11,"Báilame","Nacho",0,"7lRsNbdOGykkMAgsqs4R1C","2017-03-01","pa"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-03-01","pa"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-03-01","pa"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-03-01","pa"
11,"Tu Foto","Ozuna",0,"0Szp49tpFasIjX04Mcsydp","2017-03-01","pa"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-03-01","pa"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-03-01","pa"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-03-01","pa"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-03-01","pa"
