"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Reggaetón Lento (Bailemos)","CNCO",762391,"3AEZUABDXNtecAOSC1qTfo","2017-01-01","pe"
2,"Otra Vez (feat. J Balvin)","Zion & Lennox",865630,"3QwBODjSEzelZyVjxPOHdq","2017-01-01","pe"
3,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",1140692,"4aWmUDTfIPGksMNLV2rQP2","2017-01-01","pe"
4,"Chantaje","Shakira",506166,"6mICuAdrwEjh6Y6lroV2Kg","2017-01-01","pe"
5,"Vente Pa' Ca","Ricky Martin",688386,"7DM4BPaS7uofFul3ywMe46","2017-01-01","pe"
6,"Échame La Culpa","Luis Fonsi",834981,"1zsG4eaZmkA1dvjDDsAGLK","2017-01-01","pe"
7,"Ay Mi Dios","IAmChino",503750,"6stYbAJgTszHAHZMPxWWCY","2017-01-01","pe"
8,"Safari","J Balvin",402540,"6rQSrBHf7HlZjtcMZ4S4bO","2017-01-01","pe"
9,"Se Preparó","Ozuna",505955,"1m69ELEgE6k5ZWsap40ozt","2017-01-01","pe"
10,"Let Me Love You","DJ Snake",309365,"4pdPtRcBmOSQDlJ3Fk945m","2017-01-01","pe"
11,"El Amante","Nicky Jam",0,"3umS4y3uQDkqekNjVpiRUs","2017-01-01","pe"
11,"Shape of You","Ed Sheeran",0,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","pe"
11,"Qué Bonito","Vicky Corbacho",0,"5rhQzYGJqaSOO1RcZFbtQb","2017-01-01","pe"
11,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",0,"5q2JbCNi4FcnglgPfxcV65","2017-01-01","pe"
11,"La Rompe Corazones","Daddy Yankee",0,"4okba5wu9mMLXx79DXLKi3","2017-01-01","pe"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-01-01","pe"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-01-01","pe"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","pe"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-01-01","pe"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-01-01","pe"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-01-01","pe"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-01-01","pe"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-01-01","pe"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-01-01","pe"
11,"Una Lady Como Tú","Manuel Turizo",0,"7MHN1aCFtLXjownGhvEQlF","2017-01-01","pe"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-01-01","pe"
11,"Báilame","Nacho",0,"7lRsNbdOGykkMAgsqs4R1C","2017-01-01","pe"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-01-01","pe"
11,"Krippy Kush","Farruko",0,"3rgjBiAMVGnxmsTDmUy8vb","2017-01-01","pe"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-01-01","pe"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-01-01","pe"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-01-01","pe"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-01-01","pe"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-01-01","pe"
11,"Robarte un Beso","Carlos Vives",0,"0JcNysfWVWaMS7R6vzGB2k","2017-01-01","pe"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-01-01","pe"
11,"Corazón","Maluma",0,"4lESS6vuruP6a79KWRaQou","2017-01-01","pe"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-01-01","pe"
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",4094038,"4aWmUDTfIPGksMNLV2rQP2","2017-02-01","pe"
