"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Shape of You","Ed Sheeran",2486870,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","pl"
2,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",662987,"5knuzwU65gJK7IF5yJsuaW","2017-01-01","pl"
3,"Starboy","The Weeknd",533865,"5aAx2yezTd8zXrkmtKl66Z","2017-01-01","pl"
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",389354,"3NdDpSvN911VPGivFlV5d0","2017-01-01","pl"
5,"Havana","Camila Cabello",345891,"0ofbQMrRDsUaVKq2mGLEAb","2017-01-01","pl"
6,"I Feel It Coming","The Weeknd",449714,"5GXAXm5YOmYT0kL5jHvYBt","2017-01-01","pl"
7,"Closer","The Chainsmokers",375845,"7BKLCZ1jbUBVqRi2FVlTVw","2017-01-01","pl"
8,"Paris","The Chainsmokers",267171,"72jbDTw1piOOj770jWNeaG","2017-01-01","pl"
9,"Tuesday","Burak Yeter",243439,"7abpmGpF7PGep2rDU68GBR","2017-01-01","pl"
10,"Castle on the Hill","Ed Sheeran",195151,"6PCUP3dWmTjcTtXY02oFdT","2017-01-01","pl"
11,"Scared to Be Lonely","Martin Garrix",0,"3ebXMykcMXOcLeJ9xZ17XH","2017-01-01","pl"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-01-01","pl"
11,"Chained To The Rhythm","Katy Perry",0,"6520aj0B4FSKGVuKNsOCOi","2017-01-01","pl"
11,"Believer","Imagine Dragons",0,"0CcQNd8CINkwQfe1RDtGV6","2017-01-01","pl"
11,"Galway Girl","Ed Sheeran",0,"0afhq8XCExXpqazXczTSve","2017-01-01","pl"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-01-01","pl"
11,"Stay (with Alessia Cara)","Zedd",0,"0dA2Mk56wEzDgegdC6R17g","2017-01-01","pl"
11,"Perfect","Ed Sheeran",0,"0tgVpDi06FyKpA1z0VMD4v","2017-01-01","pl"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-01-01","pl"
11,"HUMBLE.","Kendrick Lamar",0,"7KXjTSCq5nL1LoYtL7XAwS","2017-01-01","pl"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","pl"
11,"Sign of the Times","Harry Styles",0,"5Ohxk2dO5COHF1krpoPigN","2017-01-01","pl"
11,"There's Nothing Holdin' Me Back","Shawn Mendes",0,"79cuOz3SPQTuFrp8WgftAu","2017-01-01","pl"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-01-01","pl"
11,"Malibu","Miley Cyrus",0,"2habSXqcJGExM6JJyskY7O","2017-01-01","pl"
11,"Thunder","Imagine Dragons",0,"56lBX2WHqfGuoeZxZvUnVj","2017-01-01","pl"
11,"2U (feat. Justin Bieber)","David Guetta",0,"3A7qX2QjDlPnazUsRk5y0M","2017-01-01","pl"
11,"Attention","Charlie Puth",0,"4iLqG9SeJSnt0cSPICSjxv","2017-01-01","pl"
11,"Thunder","Imagine Dragons",0,"0tKcYR2II1VCQWT79i5NrW","2017-01-01","pl"
11,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",0,"4aWmUDTfIPGksMNLV2rQP2","2017-01-01","pl"
11,"I'm the One","DJ Khaled",0,"3DXncPQOG4VBw3QHh3S817","2017-01-01","pl"
11,"Fetish (feat. Gucci Mane)","Selena Gomez",0,"0XLOf9LhyazPX9Ld8jPiUq","2017-01-01","pl"
11,"Mama","Jonas Blue",0,"0NiXXAI876aGImAd6rTj8w","2017-01-01","pl"
11,"Wild Thoughts","DJ Khaled",0,"1OAh8uOEOvTDqkKFsKksCi","2017-01-01","pl"
11,"More Than You Know","Axwell /\ Ingrosso",0,"3PEgB3fkiojxms35ntsTgs","2017-01-01","pl"
11,"Nostalgia","Taco Hemingway",0,"1AU7nfy6iBbNt7rrgSglOZ","2017-01-01","pl"
11,"Feels","Calvin Harris",0,"5bcTCxgc7xVfSaMV3RuVke","2017-01-01","pl"
11,"Friends (with BloodPop®)","Justin Bieber",0,"7nZmah2llfvLDiUjm0kiyz","2017-01-01","pl"
11,"Chodź","Taco Hemingway",0,"2a0u6wN15zIfSzgfhbsjd1","2017-01-01","pl"
11,"New Rules","Dua Lipa",0,"2ekn2ttSfGqwhhate0LSR0","2017-01-01","pl"
11,"Tlen","Taco Hemingway",0,"2Z07zp7rbrWfIRbYeaQnWL","2017-01-01","pl"
11,"Dusk Till Dawn - Radio Edit","ZAYN",0,"1j4kHkkpqZRBwE0A4CN4Yv","2017-01-01","pl"
11,"Look What You Made Me Do","Taylor Swift",0,"6uFsE1JgZ20EXyU0JQZbUR","2017-01-01","pl"
11,"rockstar","Post Malone",0,"1OmcAT5Y8eg5bUPv9qJT4R","2017-01-01","pl"
11,"Candy","Quebonafide",0,"7hRsWeey4zosKz2ris2cHI","2017-01-01","pl"
