"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Reggaetón Lento (Bailemos)","CNCO",88031,"3AEZUABDXNtecAOSC1qTfo","2017-01-01","sv"
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",174760,"4aWmUDTfIPGksMNLV2rQP2","2017-01-01","sv"
3,"Chantaje","Shakira",94661,"6mICuAdrwEjh6Y6lroV2Kg","2017-01-01","sv"
4,"Otra Vez (feat. J Balvin)","Zion & Lennox",72979,"3QwBODjSEzelZyVjxPOHdq","2017-01-01","sv"
5,"Shape of You","Ed Sheeran",55040,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","sv"
6,"Sensualidad","Bad Bunny",64841,"5hcisvFMidkMJlElTO9Qmw","2017-01-01","sv"
7,"Closer","The Chainsmokers",65184,"7BKLCZ1jbUBVqRi2FVlTVw","2017-01-01","sv"
8,"Safari","J Balvin",43833,"6rQSrBHf7HlZjtcMZ4S4bO","2017-01-01","sv"
9,"Let Me Love You","DJ Snake",53305,"4pdPtRcBmOSQDlJ3Fk945m","2017-01-01","sv"
10,"Échame La Culpa","Luis Fonsi",37236,"1zsG4eaZmkA1dvjDDsAGLK","2017-01-01","sv"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-01-01","sv"
11,"El Amante","Nicky Jam",0,"3umS4y3uQDkqekNjVpiRUs","2017-01-01","sv"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-01-01","sv"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-01-01","sv"
11,"Sigo Extrañándote","J Balvin",0,"6qDF4wWL49CAVbgT7yuHl8","2017-01-01","sv"
11,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",0,"5q2JbCNi4FcnglgPfxcV65","2017-01-01","sv"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-01-01","sv"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","sv"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-01-01","sv"
