"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Cuando Se Pone a Bailar","Rombai",314207,"1MpKZi1zTXpERKwxmOu1PH","2017-01-01","uy"
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",369255,"4aWmUDTfIPGksMNLV2rQP2","2017-01-01","uy"
3,"Chantaje","Shakira",203251,"6mICuAdrwEjh6Y6lroV2Kg","2017-01-01","uy"
4,"Safari","J Balvin",178155,"6rQSrBHf7HlZjtcMZ4S4bO","2017-01-01","uy"
5,"Reggaetón Lento (Bailemos)","CNCO",105622,"3AEZUABDXNtecAOSC1qTfo","2017-01-01","uy"
6,"Corazón","Maluma",129345,"4lESS6vuruP6a79KWRaQou","2017-01-01","uy"
7,"Piel a Piel","Dame 5",126651,"2q3B7GLCEA4uYvuo2g5P82","2017-01-01","uy"
8,"Carnavalintro","CHANO",123214,"0tGAPnTFwRJA6FZgYZ0BAe","2017-01-01","uy"
9,"Downtown","Anitta",112890,"3Ga6eKrUFf12ouh9Yw3v2D","2017-01-01","uy"
10,"Sensualidad","Bad Bunny",70701,"5hcisvFMidkMJlElTO9Qmw","2017-01-01","uy"
11,"El Amante","Nicky Jam",0,"3umS4y3uQDkqekNjVpiRUs","2017-01-01","uy"
11,"Shape of You","Ed Sheeran",0,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","uy"
11,"Otra Vez (feat. J Balvin)","Zion & Lennox",0,"3QwBODjSEzelZyVjxPOHdq","2017-01-01","uy"
11,"Vacaciones","Wisin",0,"3dQDid3IUNhZy1OehIfYfE","2017-01-01","uy"
11,"La Rompe Corazones","Daddy Yankee",0,"4okba5wu9mMLXx79DXLKi3","2017-01-01","uy"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-01-01","uy"
11,"Me Llamas (feat. Maluma) - Remix","Piso 21",0,"5hEM0JchdVzQ5PwvSfITeX","2017-01-01","uy"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","uy"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-01-01","uy"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-01-01","uy"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-01-01","uy"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-01-01","uy"
11,"Una y Otra Vez","Rombai",0,"3VSt7R9LHTomKGP1RhkvuT","2017-01-01","uy"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-01-01","uy"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-01-01","uy"
11,"Tu Foto","Ozuna",0,"0Szp49tpFasIjX04Mcsydp","2017-01-01","uy"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-01-01","uy"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-01-01","uy"
11,"Báilame","Nacho",0,"7lRsNbdOGykkMAgsqs4R1C","2017-01-01","uy"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-01-01","uy"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-01-01","uy"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-01-01","uy"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-01-01","uy"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-01-01","uy"
11,"Que Va","Alex Sensation",0,"7ofxPmTNMj2GP07g1VZa0O","2017-01-01","uy"
11,"Suena El Dembow","Joey Montana",0,"5TysCiZtv1HnSWcTcUFusI","2017-01-01","uy"
11,"Criminal","Natti Natasha",0,"6Za3190Sbw39BBC77WSS1C","2017-01-01","uy"
11,"Perro Fiel","Shakira",0,"70lnL3QaSOIIyMa2X9aVRL","2017-01-01","uy"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-01-01","uy"
11,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",0,"33bnxcjePIkcmNjEFTJX0l","2017-01-01","uy"
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",790607,"4aWmUDTfIPGksMNLV2rQP2","2017-02-01","uy"
2,"El Amante","Nicky Jam",328694,"3umS4y3uQDkqekNjVpiRUs","2017-02-01","uy"
3,"Reggaetón Lento (Bailemos)","CNCO",337347,"3AEZUABDXNtecAOSC1qTfo","2017-02-01","uy"
4,"Shape of You","Ed Sheeran",307266,"7qiZfU4dY1lWllzX7mPBI3","2017-02-01","uy"
5,"Chantaje","Shakira",286622,"6mICuAdrwEjh6Y6lroV2Kg","2017-02-01","uy"
6,"Cuando Se Pone a Bailar","Rombai",280443,"1MpKZi1zTXpERKwxmOu1PH","2017-02-01","uy"
7,"Otra Vez (feat. J Balvin)","Zion & Lennox",241631,"3QwBODjSEzelZyVjxPOHdq","2017-02-01","uy"
8,"Safari","J Balvin",225698,"6rQSrBHf7HlZjtcMZ4S4bO","2017-02-01","uy"
9,"Vacaciones","Wisin",182587,"3dQDid3IUNhZy1OehIfYfE","2017-02-01","uy"
10,"La Rompe Corazones","Daddy Yankee",126704,"4okba5wu9mMLXx79DXLKi3","2017-02-01","uy"
11,"Corazón","Maluma",0,"4lESS6vuruP6a79KWRaQou","2017-02-01","uy"
11,"Piel a Piel","Dame 5",0,"2q3B7GLCEA4uYvuo2g5P82","2017-02-01","uy"
11,"Carnavalintro","CHANO",0,"0tGAPnTFwRJA6FZgYZ0BAe","2017-02-01","uy"
11,"Downtown","Anitta",0,"3Ga6eKrUFf12ouh9Yw3v2D","2017-02-01","uy"
11,"Sensualidad","Bad Bunny",0,"5hcisvFMidkMJlElTO9Qmw","2017-02-01","uy"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-02-01","uy"
11,"Me Llamas (feat. Maluma) - Remix","Piso 21",0,"5hEM0JchdVzQ5PwvSfITeX","2017-02-01","uy"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-02-01","uy"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-02-01","uy"
11,"Felices los 4","Maluma",0,"0qYTZCo5Bwh1nsUFGZP3zn","2017-02-01","uy"
11,"Hey DJ","CNCO",0,"209gZgcfLq2aUuu51vOWBl","2017-02-01","uy"
11,"Ahora Dice","Chris Jeday",0,"22eADXu8DfOAUEDw4vU8qy","2017-02-01","uy"
11,"Una y Otra Vez","Rombai",0,"3VSt7R9LHTomKGP1RhkvuT","2017-02-01","uy"
11,"Me Rehúso","Danny Ocean",0,"6Zosz8w6CmdGMZM6p4JlbQ","2017-02-01","uy"
11,"Escápate Conmigo","Wisin",0,"2cnKEkpVUSV4wnjQiTWfH6","2017-02-01","uy"
11,"Tu Foto","Ozuna",0,"0Szp49tpFasIjX04Mcsydp","2017-02-01","uy"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-02-01","uy"
11,"Bonita","J Balvin",0,"693iqPOQvhI7PobtR8CC8v","2017-02-01","uy"
11,"Báilame","Nacho",0,"7lRsNbdOGykkMAgsqs4R1C","2017-02-01","uy"
11,"Mayores","Becky G",0,"7JNh1cfm0eXjqFVOzKLyau","2017-02-01","uy"
11,"Se Preparó","Ozuna",0,"1m69ELEgE6k5ZWsap40ozt","2017-02-01","uy"
11,"Criminal","Natti Natasha",0,"2SmgFAhQkQCQPyBiBxR6Te","2017-02-01","uy"
11,"Báilame - Remix","Nacho",0,"3VClLWqNn80Llv0PJOsKgr","2017-02-01","uy"
11,"Robarte un Beso","Carlos Vives",0,"4z3GJkrtH97Bj6fRta983T","2017-02-01","uy"
