month,feature,value
january,danceability,92
january,energy,91
january,key,70
january,loudness,94
january,speechiness,90
january,acousticness,100
january,instrumentalness,0
january,liveness,90
january,valence,72
january,tempo,94
january,duration_ms,100
february,danceability,87
february,energy,95
february,key,44
february,loudness,91
february,speechiness,76
february,acousticness,79
february,instrumentalness,0
february,liveness,96
february,valence,70
february,tempo,100
february,duration_ms,100
march,danceability,92
march,energy,90
march,key,53
march,loudness,93
march,speechiness,70
march,acousticness,53
march,instrumentalness,41
march,liveness,100
march,valence,74
march,tempo,93
march,duration_ms,95
april,danceability,100
april,energy,85
april,key,50
april,loudness,100
april,speechiness,100
april,acousticness,52
april,instrumentalness,100
april,liveness,77
april,valence,77
april,tempo,97
april,duration_ms,93
may,danceability,98
may,energy,94
may,key,40
may,loudness,83
may,speechiness,83
may,acousticness,56
may,instrumentalness,17
may,liveness,73
may,valence,90
may,tempo,91
may,duration_ms,94
june,danceability,98
june,energy,100
june,key,48
june,loudness,72
june,speechiness,66
june,acousticness,61
june,instrumentalness,67
june,liveness,77
june,valence,100
june,tempo,89
june,duration_ms,93
july,danceability,96
july,energy,98
july,key,69
july,loudness,68
july,speechiness,58
july,acousticness,53
july,instrumentalness,90
july,liveness,76
july,valence,96
july,tempo,83
july,duration_ms,93
august,danceability,96
august,energy,99
august,key,82
august,loudness,71
august,speechiness,66
august,acousticness,45
august,instrumentalness,10
august,liveness,83
august,valence,95
august,tempo,84
august,duration_ms,91
september,danceability,88
september,energy,90
september,key,100
september,loudness,90
september,speechiness,64
september,acousticness,62
september,instrumentalness,7
september,liveness,95
september,valence,64
september,tempo,95
september,duration_ms,89
october,danceability,83
october,energy,81
october,key,94
october,loudness,93
october,speechiness,50
october,acousticness,75
october,instrumentalness,1
october,liveness,89
october,valence,47
october,tempo,98
october,duration_ms,91
november,danceability,91
november,energy,83
november,key,93
november,loudness,91
november,speechiness,47
november,acousticness,69
november,instrumentalness,0
november,liveness,86
november,valence,53
november,tempo,99
november,duration_ms,87
december,danceability,90
december,energy,84
december,key,91
december,loudness,99
december,speechiness,60
december,acousticness,81
december,instrumentalness,11
december,liveness,92
december,valence,59
december,tempo,95
december,duration_ms,91
